,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,final_dropout,completion_stage
5486,0,3,9,15,1,8.0,16.0,2.0,33.0,4.0,23.0,1.0,1.0,3.0,2,1,2,0,3
5487,1,1,94,48,1,41.0,14.0,1.0,15.0,5.0,45.0,4.0,2.0,4.0,18,5,5,0,3
5488,1,2,81,81,1,78.0,62.0,2.0,30.0,1.0,62.0,3.0,2.0,4.0,16,3,1,0,3
5489,0,2,12,10,4,32.0,51.0,4.0,79.0,2.0,93.0,4.0,4.0,2.0,17,9,5,0,3
5491,0,2,4,12,1,2.0,26.0,2.0,28.0,4.0,24.0,1.0,3.0,3.0,4,3,1,0,3
5492,0,1,96,65,1,66.0,49.0,3.0,4.0,1.0,81.0,3.0,1.0,2.0,13,24,3,0,3
5493,1,3,68,85,1,63.0,35.0,3.0,62.0,5.0,26.0,3.0,2.0,5.0,15,10,5,0,3
5495,0,2,87,89,1,84.0,97.0,1.0,55.0,1.0,27.0,5.0,1.0,1.0,10,3,3,0,3
5496,1,2,55,70,5,70.0,23.0,5.0,19.0,5.0,81.0,3.0,5.0,1.0,10,7,2,0,3
5497,1,1,48,50,5,56.0,60.0,2.0,57.0,5.0,82.0,1.0,5.0,1.0,14,9,3,0,3
5498,0,3,25,92,4,85.0,47.0,5.0,58.0,2.0,42.0,1.0,4.0,4.0,12,17,2,0,3
5499,0,2,11,20,4,48.0,34.0,4.0,84.0,2.0,24.0,3.0,3.0,3.0,15,17,5,0,3
5500,0,2,10,28,5,36.0,50.0,4.0,76.0,2.0,89.0,1.0,2.0,1.0,19,9,5,0,3
5502,1,3,2,4,5,51.0,45.0,4.0,68.0,3.0,37.0,1.0,2.0,3.0,3,13,6,0,3
5503,1,3,71,65,5,53.0,76.0,1.0,88.0,2.0,79.0,3.0,5.0,5.0,9,9,2,0,3
5504,0,1,4,4,4,58.0,51.0,3.0,97.0,1.0,76.0,2.0,5.0,3.0,12,9,4,0,3
5505,1,1,31,53,3,87.0,56.0,4.0,45.0,2.0,97.0,1.0,3.0,2.0,7,8,4,0,3
5507,1,3,76,94,1,75.0,57.0,1.0,77.0,3.0,20.0,1.0,3.0,4.0,18,9,2,0,3
5508,1,1,2,15,5,31.0,49.0,3.0,62.0,4.0,42.0,1.0,2.0,2.0,14,8,5,0,3
5509,1,3,72,63,2,97.0,43.0,1.0,12.0,5.0,82.0,2.0,5.0,1.0,10,6,5,0,3
5510,1,3,31,64,5,82.0,46.0,3.0,22.0,2.0,99.0,1.0,4.0,4.0,15,6,5,0,3
5511,1,3,27,73,2,72.0,55.0,2.0,46.0,1.0,97.0,3.0,1.0,1.0,17,9,2,0,3
5512,0,2,5,7,1,5.0,15.0,4.0,38.0,1.0,27.0,4.0,1.0,4.0,3,3,2,0,3
5513,0,2,2,29,4,54.0,43.0,4.0,93.0,2.0,53.0,2.0,1.0,3.0,21,12,8,0,3
5515,1,2,15,51,1,93.0,74.0,1.0,37.0,2.0,99.0,4.0,3.0,1.0,5,9,3,0,3
5516,0,2,5,78,5,66.0,75.0,4.0,32.0,3.0,86.0,4.0,2.0,4.0,11,8,7,0,3
5517,0,1,80,67,2,72.0,39.0,5.0,10.0,2.0,46.0,1.0,1.0,3.0,8,11,4,0,3
5518,1,3,84,42,1,55.0,89.0,3.0,26.0,3.0,23.0,2.0,1.0,3.0,17,7,4,0,3
5520,1,2,61,50,4,53.0,68.0,1.0,40.0,1.0,41.0,2.0,1.0,5.0,14,3,1,0,3
5521,1,1,7,8,4,44.0,54.0,4.0,50.0,3.0,37.0,3.0,2.0,1.0,18,8,4,0,3
5523,1,3,74,82,2,74.0,28.0,2.0,45.0,1.0,39.0,4.0,1.0,5.0,7,1,1,1,3
5524,1,3,7,8,2,11.0,22.0,1.0,47.0,4.0,26.0,2.0,1.0,1.0,0,2,1,0,3
5525,0,2,94,86,5,11.0,75.0,2.0,29.0,2.0,41.0,1.0,1.0,1.0,12,3,5,0,3
5526,1,2,34,58,1,25.0,51.0,3.0,37.0,3.0,27.0,3.0,2.0,4.0,5,6,2,1,3
5527,0,3,3,2,1,10.0,56.0,5.0,29.0,1.0,20.0,1.0,3.0,1.0,2,2,2,0,3
5528,1,3,28,63,2,62.0,30.0,2.0,42.0,5.0,78.0,2.0,4.0,4.0,7,21,2,0,3
5529,1,3,36,69,5,24.0,45.0,4.0,34.0,1.0,43.0,1.0,5.0,2.0,8,18,4,0,3
5530,1,3,83,1,4,87.0,8.0,3.0,66.0,5.0,17.0,5.0,5.0,4.0,13,4,2,1,3
5531,0,1,17,13,5,39.0,33.0,3.0,77.0,2.0,72.0,3.0,1.0,4.0,7,12,8,0,3
5532,1,2,2,4,3,52.0,85.0,4.0,97.0,3.0,45.0,1.0,3.0,2.0,11,19,7,0,3
5535,1,3,36,54,5,66.0,49.0,5.0,13.0,2.0,77.0,1.0,3.0,2.0,9,8,2,0,3
5536,1,1,34,55,5,77.0,36.0,2.0,61.0,5.0,59.0,1.0,1.0,1.0,14,9,2,0,3
5537,0,2,93,46,4,79.0,25.0,3.0,16.0,1.0,20.0,5.0,2.0,3.0,18,4,5,0,3
5538,1,2,87,81,1,69.0,85.0,3.0,69.0,3.0,20.0,1.0,2.0,3.0,6,7,5,0,3
5540,1,3,67,65,2,76.0,79.0,1.0,69.0,3.0,79.0,3.0,3.0,5.0,15,6,4,0,3
5541,1,3,4,9,1,12.0,53.0,4.0,24.0,4.0,20.0,1.0,3.0,1.0,4,1,1,0,3
5542,0,3,46,47,5,68.0,17.0,5.0,33.0,5.0,34.0,1.0,5.0,4.0,18,2,8,0,3
5543,1,2,59,65,5,15.0,91.0,2.0,45.0,3.0,70.0,1.0,3.0,1.0,3,12,2,0,3
5546,0,3,27,26,4,49.0,53.0,1.0,62.0,3.0,34.0,1.0,4.0,1.0,2,10,4,0,3
5547,1,3,78,66,2,63.0,62.0,5.0,73.0,5.0,95.0,3.0,1.0,1.0,8,7,4,0,3
5548,1,2,89,8,1,65.0,17.0,3.0,21.0,2.0,1.0,5.0,5.0,4.0,14,8,3,1,3
5549,0,3,5,15,5,8.0,45.0,2.0,38.0,1.0,26.0,2.0,1.0,3.0,4,3,2,0,3
5550,0,3,5,1,2,3.0,13.0,5.0,26.0,1.0,28.0,5.0,5.0,1.0,1,3,2,0,3
5551,1,2,30,83,4,44.0,75.0,4.0,31.0,4.0,36.0,1.0,5.0,3.0,5,2,0,1,3
5552,1,3,40,59,5,9.0,24.0,4.0,3.0,5.0,33.0,5.0,5.0,5.0,10,4,1,1,3
5553,0,3,7,8,5,11.0,26.0,1.0,36.0,1.0,29.0,1.0,1.0,3.0,1,3,2,0,3
5554,1,3,89,5,4,21.0,60.0,3.0,71.0,1.0,59.0,1.0,2.0,3.0,3,20,8,0,3
5556,1,3,8,92,1,63.0,8.0,5.0,49.0,1.0,1.0,3.0,5.0,4.0,13,1,3,1,3
5557,1,3,41,81,2,72.0,11.0,5.0,30.0,4.0,14.0,3.0,5.0,4.0,14,2,9,0,3
5559,1,3,9,12,1,8.0,11.0,1.0,40.0,1.0,28.0,2.0,1.0,1.0,2,3,1,0,3
5560,1,3,34,85,1,71.0,27.0,1.0,33.0,5.0,66.0,2.0,4.0,3.0,14,7,2,0,3
5561,0,1,89,64,4,57.0,87.0,4.0,27.0,2.0,47.0,1.0,3.0,5.0,15,6,5,0,3
5562,1,3,69,50,1,90.0,76.0,2.0,54.0,2.0,86.0,1.0,3.0,2.0,12,3,2,0,3
5563,1,3,26,54,5,68.0,44.0,2.0,82.0,1.0,55.0,3.0,4.0,1.0,14,7,4,0,3
5565,1,3,41,78,1,58.0,54.0,1.0,39.0,2.0,85.0,3.0,4.0,2.0,12,7,2,0,3
5566,0,3,18,16,5,38.0,52.0,4.0,63.0,3.0,91.0,1.0,2.0,3.0,6,12,5,0,3
5567,1,2,11,73,4,75.0,19.0,4.0,38.0,4.0,37.0,5.0,5.0,5.0,4,1,0,1,3
5568,1,3,72,63,2,85.0,34.0,5.0,79.0,1.0,36.0,1.0,2.0,3.0,11,8,5,0,3
5569,0,1,46,1,4,96.0,96.0,4.0,31.0,5.0,59.0,1.0,1.0,2.0,17,18,4,0,3
5572,1,3,78,67,1,27.0,9.0,3.0,90.0,4.0,33.0,2.0,3.0,4.0,0,0,1,1,3
5573,1,3,7,3,1,12.0,39.0,1.0,25.0,2.0,22.0,3.0,1.0,4.0,0,3,2,0,3
5575,1,2,16,18,4,54.0,42.0,4.0,85.0,2.0,52.0,4.0,2.0,3.0,12,18,5,0,3
5578,1,2,59,54,3,68.0,26.0,1.0,47.0,5.0,65.0,3.0,1.0,1.0,5,8,2,0,3
5579,0,2,8,5,5,22.0,49.0,4.0,47.0,3.0,39.0,2.0,2.0,3.0,25,7,5,0,3
5581,1,3,18,79,5,60.0,57.0,1.0,48.0,2.0,59.0,1.0,5.0,1.0,10,9,2,0,3
5582,1,3,60,39,1,46.0,96.0,1.0,53.0,1.0,26.0,1.0,4.0,1.0,3,5,1,0,3
5584,1,1,49,79,2,68.0,52.0,3.0,93.0,2.0,58.0,1.0,5.0,2.0,7,8,5,0,3
5585,1,2,18,2,4,34.0,40.0,2.0,75.0,5.0,64.0,1.0,4.0,3.0,8,8,6,0,3
5587,0,3,45,43,4,92.0,75.0,2.0,76.0,5.0,82.0,4.0,2.0,5.0,6,18,1,0,3
5589,1,2,56,9,4,20.0,88.0,4.0,34.0,4.0,31.0,2.0,5.0,4.0,8,7,2,1,3
5590,0,3,11,27,5,35.0,52.0,3.0,76.0,3.0,59.0,2.0,5.0,3.0,25,13,5,0,3
5591,1,3,71,34,3,71.0,33.0,2.0,51.0,5.0,33.0,4.0,1.0,4.0,4,2,4,0,3
5593,1,1,68,52,1,76.0,72.0,3.0,76.0,4.0,25.0,3.0,4.0,1.0,15,5,4,0,3
5595,0,2,1,13,1,4.0,52.0,3.0,26.0,2.0,25.0,5.0,3.0,1.0,2,1,2,0,3
5596,1,1,73,7,5,29.0,62.0,3.0,36.0,3.0,6.0,2.0,5.0,1.0,8,13,7,0,3
5597,1,3,59,64,1,90.0,23.0,1.0,27.0,5.0,67.0,1.0,4.0,1.0,8,6,2,0,3
5599,0,3,7,6,1,6.0,54.0,3.0,29.0,1.0,26.0,1.0,4.0,1.0,4,1,2,0,3
5600,1,3,43,78,1,83.0,29.0,4.0,26.0,1.0,86.0,1.0,5.0,5.0,5,5,5,0,3
5603,1,3,4,3,1,9.0,35.0,2.0,47.0,4.0,25.0,1.0,5.0,1.0,0,3,2,0,3
5604,0,2,16,27,4,50.0,53.0,5.0,75.0,2.0,60.0,3.0,2.0,4.0,15,16,7,0,3
5605,1,1,69,71,2,83.0,31.0,5.0,58.0,4.0,89.0,5.0,4.0,1.0,8,8,2,0,3
5606,0,3,8,15,2,1.0,30.0,3.0,34.0,1.0,22.0,5.0,3.0,4.0,4,2,1,0,3
5607,1,2,44,70,2,88.0,58.0,1.0,76.0,5.0,55.0,4.0,4.0,1.0,5,8,2,0,3
5608,0,3,5,4,5,2.0,27.0,5.0,48.0,2.0,27.0,3.0,1.0,1.0,3,3,2,0,3
5609,0,2,8,4,5,43.0,39.0,3.0,56.0,4.0,36.0,1.0,1.0,3.0,15,3,8,0,3
5614,1,2,70,66,1,46.0,54.0,4.0,46.0,2.0,70.0,2.0,4.0,2.0,2,9,8,0,3
5615,0,1,4,8,5,58.0,33.0,2.0,64.0,5.0,64.0,1.0,2.0,3.0,24,9,4,0,3
5616,1,2,18,42,1,44.0,2.0,3.0,23.0,5.0,24.0,3.0,3.0,4.0,8,4,2,1,3
5617,1,3,73,69,1,63.0,63.0,2.0,62.0,4.0,54.0,1.0,1.0,1.0,7,6,4,0,3
5618,0,3,7,15,1,13.0,25.0,4.0,29.0,4.0,23.0,3.0,3.0,3.0,1,3,2,0,3
5620,1,2,1,11,5,13.0,44.0,1.0,25.0,1.0,22.0,5.0,4.0,4.0,0,3,1,0,3
5621,0,2,60,61,5,58.0,55.0,4.0,28.0,5.0,23.0,1.0,1.0,1.0,10,11,2,0,3
5622,1,3,20,59,3,74.0,36.0,2.0,96.0,2.0,64.0,4.0,1.0,1.0,17,8,4,0,3
5623,0,1,40,97,2,6.0,82.0,4.0,48.0,5.0,81.0,4.0,5.0,3.0,8,24,6,0,3
5626,1,2,13,11,5,25.0,34.0,5.0,57.0,2.0,27.0,4.0,3.0,3.0,10,7,8,0,3
5627,1,3,77,72,2,92.0,50.0,1.0,80.0,5.0,71.0,5.0,5.0,1.0,12,8,5,0,3
5629,1,2,3,12,1,3.0,21.0,4.0,39.0,1.0,23.0,2.0,2.0,1.0,1,1,1,0,3
5631,1,1,41,21,1,88.0,85.0,5.0,22.0,2.0,9.0,3.0,1.0,5.0,3,3,1,1,3
5632,0,1,2,6,4,42.0,51.0,3.0,62.0,3.0,39.0,3.0,2.0,1.0,11,8,4,0,3
5633,1,3,16,54,2,66.0,40.0,2.0,48.0,4.0,82.0,1.0,5.0,2.0,13,6,2,0,3
5634,0,3,2,7,2,2.0,15.0,1.0,39.0,1.0,25.0,1.0,3.0,4.0,1,3,1,0,3
5635,0,2,92,59,1,58.0,51.0,4.0,1.0,5.0,60.0,2.0,4.0,1.0,3,6,3,0,3
5636,1,3,19,20,4,28.0,31.0,5.0,61.0,2.0,57.0,5.0,2.0,2.0,20,6,8,0,3
5637,1,3,84,47,5,9.0,25.0,1.0,34.0,3.0,32.0,5.0,5.0,5.0,10,8,0,1,3
5640,1,3,98,75,2,90.0,63.0,2.0,71.0,3.0,29.0,1.0,1.0,1.0,13,7,4,0,3
5643,0,2,62,92,1,56.0,50.0,1.0,47.0,2.0,30.0,1.0,1.0,1.0,14,8,2,0,3
5644,0,3,3,6,1,1.0,51.0,4.0,27.0,2.0,24.0,1.0,2.0,4.0,0,3,1,0,3
5646,0,3,8,8,1,8.0,25.0,2.0,27.0,2.0,22.0,2.0,4.0,1.0,2,3,2,0,3
5648,1,2,17,72,1,61.0,40.0,2.0,89.0,1.0,88.0,4.0,3.0,1.0,17,7,3,0,3
5650,0,3,4,23,5,32.0,39.0,4.0,76.0,2.0,36.0,4.0,2.0,3.0,20,5,7,0,3
5652,0,2,4,4,1,5.0,23.0,4.0,28.0,2.0,23.0,3.0,5.0,4.0,1,1,2,0,3
5653,1,1,63,73,1,96.0,67.0,1.0,68.0,5.0,72.0,4.0,1.0,2.0,12,9,5,0,3
5654,0,2,13,2,4,52.0,36.0,3.0,90.0,2.0,81.0,3.0,5.0,3.0,10,8,5,0,3
5655,1,3,18,68,5,82.0,42.0,4.0,99.0,5.0,57.0,1.0,5.0,1.0,14,9,4,0,3
5657,1,3,1,22,5,52.0,37.0,4.0,45.0,1.0,33.0,1.0,2.0,3.0,14,14,4,0,3
5658,1,2,84,46,1,84.0,88.0,1.0,50.0,1.0,34.0,2.0,3.0,5.0,14,6,1,0,3
5659,1,2,65,54,2,52.0,76.0,2.0,17.0,5.0,61.0,3.0,5.0,1.0,17,8,3,0,3
5660,1,1,7,18,5,24.0,43.0,4.0,49.0,1.0,68.0,3.0,5.0,2.0,12,13,5,0,3
5661,0,3,7,6,1,7.0,17.0,3.0,36.0,1.0,27.0,4.0,1.0,4.0,4,2,2,0,3
5662,0,3,6,10,1,11.0,43.0,1.0,24.0,1.0,26.0,1.0,5.0,3.0,2,1,2,0,3
5663,1,1,6,82,1,70.0,37.0,2.0,75.0,4.0,67.0,5.0,1.0,4.0,8,21,1,0,3
5664,1,3,1,14,5,5.0,33.0,4.0,24.0,4.0,27.0,2.0,5.0,1.0,4,1,2,0,3
5665,0,3,9,12,2,2.0,18.0,3.0,43.0,1.0,22.0,1.0,1.0,4.0,3,1,1,0,3
5667,1,3,49,72,1,55.0,49.0,5.0,59.0,1.0,67.0,3.0,2.0,1.0,6,7,4,0,3
5668,1,2,18,23,5,40.0,45.0,4.0,80.0,2.0,97.0,3.0,2.0,2.0,8,14,5,0,3
5670,1,2,64,57,1,58.0,43.0,1.0,76.0,5.0,61.0,4.0,5.0,5.0,11,9,4,0,3
5671,1,3,79,67,1,61.0,50.0,5.0,26.0,5.0,86.0,1.0,5.0,1.0,12,6,4,0,3
5672,1,3,7,29,5,38.0,32.0,4.0,46.0,2.0,48.0,3.0,2.0,3.0,23,16,8,0,3
5673,0,2,72,47,3,20.0,51.0,3.0,52.0,3.0,13.0,5.0,2.0,4.0,3,14,6,0,3
5674,1,2,38,95,1,75.0,30.0,4.0,78.0,3.0,11.0,1.0,5.0,2.0,8,7,3,0,3
5675,1,1,7,10,4,21.0,31.0,3.0,67.0,5.0,79.0,1.0,2.0,4.0,28,7,6,0,3
5676,1,3,14,27,5,55.0,48.0,4.0,50.0,3.0,83.0,4.0,2.0,3.0,29,12,5,0,3
5678,0,3,91,96,1,88.0,41.0,3.0,33.0,5.0,56.0,1.0,2.0,2.0,16,3,4,0,3
5679,0,2,71,45,3,58.0,51.0,2.0,26.0,2.0,91.0,4.0,3.0,1.0,5,24,1,0,3
5681,0,2,16,9,4,48.0,54.0,4.0,49.0,3.0,34.0,5.0,1.0,1.0,8,4,4,0,3
5682,0,3,1,6,5,10.0,54.0,1.0,42.0,4.0,27.0,1.0,3.0,2.0,4,2,1,0,3
5684,1,2,14,16,4,20.0,50.0,5.0,89.0,1.0,65.0,2.0,5.0,2.0,4,18,5,0,3
5685,1,3,5,14,5,9.0,27.0,4.0,46.0,4.0,28.0,1.0,3.0,1.0,0,2,2,0,3
5689,0,2,75,26,1,84.0,31.0,5.0,27.0,5.0,54.0,1.0,3.0,4.0,10,8,5,0,3
5690,1,2,89,55,1,41.0,22.0,5.0,19.0,4.0,19.0,5.0,5.0,5.0,11,1,2,1,3
5691,0,3,94,70,1,75.0,59.0,4.0,28.0,2.0,36.0,5.0,2.0,5.0,10,9,1,0,3
5692,1,3,84,18,2,85.0,44.0,1.0,77.0,3.0,60.0,3.0,5.0,1.0,9,5,4,0,3
5693,0,1,1,28,4,46.0,51.0,3.0,67.0,3.0,32.0,1.0,5.0,4.0,29,5,8,0,3
5694,0,3,5,8,2,13.0,49.0,1.0,41.0,1.0,24.0,1.0,5.0,3.0,4,1,2,0,3
5695,0,1,4,8,5,48.0,42.0,3.0,92.0,3.0,90.0,5.0,2.0,3.0,15,4,4,0,3
5696,1,1,50,6,3,74.0,78.0,1.0,3.0,5.0,35.0,5.0,5.0,4.0,9,3,1,1,3
5697,1,2,64,79,2,64.0,57.0,3.0,79.0,2.0,79.0,4.0,5.0,1.0,6,8,4,0,3
5698,0,2,2,16,2,12.0,35.0,3.0,25.0,1.0,25.0,1.0,1.0,3.0,4,2,1,0,3
5700,0,3,3,30,5,52.0,7.0,1.0,53.0,2.0,72.0,1.0,5.0,1.0,6,5,2,0,3
5701,1,3,60,78,5,75.0,30.0,1.0,75.0,5.0,57.0,3.0,4.0,1.0,5,5,4,0,3
5702,0,3,7,9,1,5.0,29.0,2.0,32.0,2.0,20.0,1.0,2.0,1.0,0,1,1,0,3
5705,0,2,3,11,5,1.0,26.0,5.0,33.0,1.0,22.0,3.0,1.0,3.0,0,2,2,0,3
5706,0,2,50,55,5,4.0,98.0,2.0,53.0,4.0,98.0,4.0,4.0,1.0,16,2,5,0,3
5707,1,3,5,2,2,60.0,24.0,5.0,8.0,2.0,63.0,1.0,1.0,1.0,17,11,1,0,3
5708,1,3,34,72,2,58.0,24.0,3.0,29.0,5.0,97.0,1.0,1.0,1.0,10,9,2,0,3
5709,1,2,66,70,2,55.0,28.0,2.0,45.0,2.0,98.0,1.0,3.0,2.0,14,8,2,0,3
5712,1,3,87,55,1,54.0,58.0,3.0,76.0,2.0,28.0,5.0,4.0,5.0,11,8,5,0,3
5713,0,1,15,20,4,44.0,31.0,4.0,57.0,3.0,72.0,1.0,5.0,3.0,25,3,5,0,3
5715,0,3,2,6,1,6.0,43.0,4.0,45.0,2.0,22.0,1.0,4.0,1.0,4,3,1,0,3
5716,1,2,53,81,4,38.0,25.0,3.0,49.0,5.0,25.0,4.0,2.0,3.0,7,4,1,1,3
5717,0,1,9,19,5,33.0,46.0,4.0,85.0,3.0,22.0,1.0,4.0,3.0,19,8,4,0,3
5718,1,2,60,72,1,53.0,75.0,2.0,79.0,4.0,27.0,1.0,1.0,2.0,10,3,3,0,3
5719,1,3,43,95,5,93.0,27.0,1.0,37.0,1.0,28.0,1.0,1.0,2.0,3,7,3,0,3
5720,0,3,8,4,1,10.0,22.0,4.0,47.0,4.0,28.0,5.0,3.0,4.0,0,1,2,0,3
5721,1,3,90,46,3,80.0,75.0,1.0,28.0,3.0,20.0,1.0,3.0,4.0,10,8,4,0,3
5722,1,2,35,86,1,8.0,9.0,2.0,42.0,4.0,66.0,1.0,3.0,3.0,6,1,0,1,3
5723,0,3,91,93,1,66.0,42.0,1.0,27.0,2.0,67.0,5.0,5.0,4.0,13,7,1,0,3
5724,0,2,80,82,1,72.0,62.0,4.0,61.0,3.0,43.0,5.0,5.0,1.0,14,4,3,0,3
5725,1,3,94,54,1,58.0,71.0,1.0,60.0,5.0,71.0,3.0,5.0,4.0,13,4,1,0,3
5726,1,2,72,74,5,7.0,81.0,1.0,13.0,4.0,15.0,4.0,3.0,5.0,9,3,0,1,3
5727,1,3,77,10,3,74.0,16.0,1.0,40.0,3.0,0.0,5.0,5.0,4.0,3,1,1,1,3
5729,0,2,90,87,1,6.0,59.0,3.0,61.0,3.0,92.0,5.0,1.0,4.0,16,21,5,0,3
5730,0,1,11,26,5,57.0,54.0,4.0,63.0,3.0,30.0,1.0,3.0,4.0,13,5,8,0,3
5733,1,1,83,37,1,98.0,26.0,1.0,74.0,5.0,10.0,2.0,4.0,2.0,5,6,3,0,3
5734,0,3,95,33,5,19.0,54.0,5.0,70.0,1.0,26.0,3.0,1.0,1.0,8,19,7,0,3
5735,1,3,6,47,3,74.0,36.0,3.0,27.0,1.0,17.0,1.0,3.0,4.0,10,18,8,0,3
5736,1,2,56,94,3,25.0,57.0,4.0,45.0,4.0,3.0,3.0,2.0,5.0,7,4,1,1,3
5737,0,3,99,55,1,77.0,35.0,2.0,65.0,1.0,83.0,1.0,1.0,3.0,16,7,3,0,3
5738,1,1,16,5,5,28.0,47.0,4.0,77.0,5.0,85.0,1.0,4.0,3.0,11,17,6,0,3
5739,0,3,6,4,5,2.0,50.0,2.0,43.0,1.0,23.0,4.0,4.0,1.0,2,3,2,0,3
5740,0,2,4,45,2,6.0,99.0,3.0,12.0,3.0,2.0,5.0,3.0,3.0,0,24,2,0,3
5745,1,1,30,65,3,98.0,41.0,2.0,74.0,2.0,62.0,4.0,4.0,1.0,10,6,5,0,3
5748,1,2,91,96,1,45.0,76.0,5.0,46.0,4.0,71.0,4.0,1.0,5.0,6,16,1,0,3
5749,1,3,4,8,1,11.0,14.0,2.0,48.0,1.0,22.0,2.0,2.0,1.0,0,1,2,0,3
5750,1,3,70,74,1,16.0,65.0,3.0,56.0,2.0,5.0,1.0,2.0,4.0,0,7,0,1,3
5751,0,2,4,28,5,31.0,44.0,4.0,51.0,3.0,57.0,5.0,2.0,3.0,6,3,7,0,3
5753,0,3,9,14,1,1.0,17.0,5.0,41.0,4.0,29.0,1.0,3.0,2.0,4,1,2,0,3
5754,1,1,25,48,4,57.0,12.0,5.0,14.0,5.0,8.0,4.0,4.0,4.0,4,1,1,1,3
5755,1,3,68,80,4,46.0,8.0,3.0,48.0,2.0,26.0,1.0,1.0,1.0,0,12,8,0,3
5756,0,3,75,71,1,77.0,70.0,1.0,3.0,3.0,50.0,3.0,1.0,5.0,14,5,3,0,3
5757,0,3,63,82,3,67.0,67.0,1.0,22.0,5.0,78.0,1.0,1.0,2.0,4,9,5,0,3
5759,1,3,55,51,3,75.0,53.0,2.0,76.0,5.0,88.0,3.0,4.0,1.0,5,5,2,0,3
5760,0,3,99,35,1,56.0,28.0,5.0,48.0,2.0,76.0,2.0,1.0,1.0,4,5,3,0,3
5763,0,3,6,2,2,3.0,13.0,3.0,27.0,2.0,23.0,1.0,3.0,1.0,3,3,1,0,3
5764,1,2,76,81,1,23.0,54.0,4.0,89.0,1.0,87.0,5.0,1.0,1.0,9,4,2,0,3
5765,1,3,40,57,1,91.0,46.0,1.0,90.0,2.0,97.0,3.0,1.0,1.0,10,8,3,0,3
5766,0,3,7,4,1,7.0,29.0,3.0,41.0,1.0,23.0,1.0,4.0,3.0,1,2,2,0,3
5767,0,3,1,4,5,7.0,23.0,4.0,39.0,1.0,21.0,1.0,1.0,4.0,0,2,1,0,3
5770,1,3,35,78,5,53.0,53.0,5.0,39.0,5.0,71.0,3.0,4.0,1.0,8,9,3,0,3
5773,1,2,78,75,1,79.0,74.0,1.0,8.0,5.0,71.0,5.0,1.0,5.0,13,8,3,0,3
5774,1,3,29,40,5,48.0,94.0,5.0,60.0,5.0,42.0,2.0,3.0,5.0,15,6,2,0,3
5775,1,3,4,92,1,20.0,8.0,4.0,51.0,4.0,65.0,3.0,3.0,4.0,6,4,0,1,3
5776,1,2,4,3,5,6.0,52.0,3.0,39.0,1.0,23.0,1.0,1.0,3.0,0,1,2,0,3
5777,0,2,2,17,4,57.0,52.0,4.0,90.0,3.0,82.0,5.0,3.0,2.0,10,15,6,0,3
5781,1,2,17,28,4,96.0,78.0,3.0,26.0,2.0,24.0,1.0,1.0,5.0,13,22,8,0,3
5783,1,3,27,56,1,95.0,20.0,3.0,1.0,5.0,50.0,1.0,5.0,1.0,6,9,5,0,3
5784,1,1,5,34,3,52.0,59.0,3.0,5.0,5.0,90.0,2.0,5.0,2.0,0,17,6,0,3
5785,0,1,4,22,5,28.0,48.0,4.0,85.0,2.0,87.0,1.0,2.0,3.0,17,4,5,0,3
5788,0,2,12,12,4,58.0,38.0,5.0,95.0,2.0,83.0,2.0,5.0,3.0,22,8,5,0,3
5789,0,3,2,9,1,7.0,15.0,3.0,33.0,4.0,22.0,1.0,4.0,1.0,3,3,1,0,3
5791,1,3,41,15,1,94.0,18.0,2.0,3.0,2.0,92.0,2.0,1.0,5.0,15,5,7,0,3
5796,0,1,15,26,4,51.0,41.0,3.0,73.0,2.0,23.0,2.0,5.0,3.0,19,17,8,0,3
5797,1,2,6,13,4,44.0,31.0,4.0,62.0,2.0,71.0,1.0,1.0,3.0,20,9,6,0,3
5798,0,1,73,91,5,43.0,12.0,5.0,72.0,2.0,50.0,2.0,1.0,4.0,6,23,4,0,3
5799,1,3,9,12,1,12.0,48.0,2.0,34.0,4.0,25.0,1.0,4.0,4.0,0,2,2,0,3
5800,1,2,7,8,2,13.0,8.0,1.0,32.0,4.0,28.0,1.0,2.0,4.0,2,2,2,0,3
5801,1,1,30,99,2,77.0,48.0,1.0,84.0,4.0,42.0,1.0,4.0,2.0,5,7,2,0,3
5802,0,1,35,5,3,83.0,8.0,2.0,96.0,3.0,91.0,1.0,3.0,2.0,9,22,9,0,3
5803,0,2,18,10,5,30.0,45.0,4.0,59.0,3.0,98.0,4.0,3.0,4.0,10,10,4,0,3
5804,0,2,12,18,4,44.0,52.0,3.0,92.0,1.0,84.0,1.0,2.0,4.0,27,6,6,0,3
5805,1,1,78,33,5,61.0,26.0,4.0,67.0,3.0,52.0,2.0,5.0,4.0,9,10,5,0,3
5809,0,2,54,11,1,27.0,93.0,2.0,57.0,3.0,36.0,1.0,1.0,2.0,14,11,5,0,3
5810,0,1,89,49,2,75.0,53.0,1.0,33.0,2.0,20.0,4.0,1.0,4.0,15,9,4,0,3
5811,0,1,73,12,2,1.0,9.0,5.0,39.0,3.0,36.0,3.0,2.0,2.0,1,6,7,0,3
5813,0,3,16,4,5,32.0,86.0,3.0,41.0,4.0,72.0,1.0,5.0,4.0,3,8,4,0,3
