,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,final_dropout
6448,1,3,63,2,1,84.0,24.0,1.0,46.0,2.0,61.0,5.0,2.0,3.0,4,6,1,0
6449,0,2,80,89,1,44.0,87.0,1.0,12.0,1.0,70.0,2.0,3.0,3.0,19,4,4,0
6450,1,2,28,71,1,57.0,37.0,1.0,73.0,2.0,53.0,3.0,1.0,2.0,10,8,3,0
6451,0,2,3,2,1,11.0,8.0,2.0,27.0,2.0,22.0,5.0,4.0,3.0,2,1,1,0
6452,0,2,4,7,5,12.0,54.0,2.0,27.0,2.0,23.0,1.0,3.0,3.0,2,2,2,0
6453,0,3,13,29,4,46.0,39.0,4.0,83.0,5.0,60.0,3.0,2.0,2.0,6,9,7,0
6454,0,1,18,21,5,35.0,34.0,5.0,54.0,2.0,20.0,3.0,5.0,2.0,3,10,7,0
6455,0,3,7,10,2,9.0,43.0,4.0,35.0,2.0,24.0,2.0,5.0,4.0,1,1,1,0
6456,0,1,12,15,4,47.0,30.0,4.0,68.0,2.0,76.0,2.0,4.0,3.0,20,5,7,0
6457,1,1,1,81,2,87.0,57.0,5.0,4.0,4.0,38.0,4.0,2.0,1.0,4,1,4,0
6458,0,3,1,7,1,4.0,9.0,3.0,40.0,2.0,20.0,1.0,2.0,1.0,0,3,2,0
6459,1,3,69,61,3,90.0,51.0,3.0,93.0,5.0,60.0,1.0,1.0,2.0,5,6,2,0
6460,0,1,69,82,1,58.0,76.0,1.0,41.0,5.0,27.0,5.0,1.0,1.0,17,8,1,0
6461,0,1,11,11,5,50.0,35.0,4.0,78.0,1.0,61.0,3.0,1.0,3.0,23,6,5,0
6463,0,1,4,1,4,59.0,41.0,4.0,76.0,3.0,47.0,2.0,2.0,2.0,19,15,6,0
6469,0,2,14,17,4,53.0,42.0,3.0,72.0,3.0,35.0,2.0,2.0,2.0,6,8,4,0
6470,1,3,43,24,5,13.0,53.0,4.0,17.0,2.0,19.0,4.0,4.0,5.0,15,21,6,0
6471,0,2,70,75,1,45.0,5.0,1.0,40.0,2.0,63.0,5.0,1.0,1.0,8,4,3,0
6475,1,3,27,53,1,59.0,48.0,5.0,85.0,3.0,84.0,3.0,5.0,1.0,8,8,2,0
6476,1,3,57,79,1,55.0,54.0,5.0,57.0,5.0,98.0,2.0,5.0,1.0,17,7,3,0
6477,1,1,95,87,5,32.0,77.0,5.0,4.0,3.0,11.0,4.0,4.0,5.0,11,5,1,1
6478,0,1,5,9,4,23.0,32.0,3.0,94.0,2.0,61.0,2.0,2.0,2.0,29,18,6,0
6479,1,3,63,44,5,55.0,77.0,1.0,13.0,2.0,78.0,1.0,2.0,4.0,12,5,2,0
6480,0,2,95,86,1,42.0,14.0,1.0,69.0,5.0,94.0,3.0,2.0,2.0,14,4,5,0
6482,1,2,62,71,1,76.0,79.0,4.0,74.0,5.0,82.0,5.0,3.0,1.0,10,7,5,0
6484,1,1,98,56,4,53.0,99.0,1.0,22.0,4.0,48.0,4.0,4.0,3.0,7,21,7,0
6487,1,2,17,53,1,97.0,77.0,1.0,49.0,1.0,89.0,5.0,1.0,2.0,6,8,2,0
6488,1,2,97,54,3,42.0,55.0,1.0,21.0,3.0,69.0,1.0,2.0,3.0,3,10,4,0
6489,1,2,87,89,1,43.0,44.0,1.0,14.0,5.0,81.0,1.0,2.0,1.0,8,10,2,0
6490,0,2,57,81,5,1.0,32.0,1.0,54.0,2.0,99.0,5.0,3.0,1.0,11,8,9,0
6493,0,1,15,14,4,27.0,48.0,4.0,59.0,1.0,30.0,1.0,2.0,4.0,9,14,7,0
6494,1,3,60,68,1,82.0,74.0,5.0,34.0,4.0,67.0,2.0,2.0,1.0,18,10,5,0
6495,1,3,25,51,5,74.0,42.0,4.0,23.0,5.0,65.0,3.0,5.0,2.0,16,9,3,0
6496,1,3,5,8,2,9.0,40.0,3.0,26.0,1.0,22.0,2.0,4.0,3.0,1,2,1,0
6497,1,2,11,16,1,19.0,20.0,3.0,72.0,4.0,20.0,2.0,1.0,5.0,1,2,3,1
6498,1,3,30,7,3,82.0,52.0,1.0,79.0,5.0,37.0,4.0,1.0,3.0,4,4,4,0
6499,1,3,27,69,5,73.0,48.0,3.0,47.0,4.0,98.0,4.0,4.0,1.0,7,7,4,0
6500,1,3,70,30,4,94.0,74.0,4.0,73.0,2.0,85.0,5.0,2.0,4.0,7,6,1,0
6501,1,3,36,48,4,30.0,80.0,4.0,7.0,4.0,41.0,1.0,3.0,3.0,11,12,4,0
6502,0,2,12,3,4,47.0,48.0,4.0,90.0,3.0,68.0,1.0,4.0,2.0,7,18,8,0
6503,1,3,79,75,2,66.0,23.0,1.0,90.0,5.0,84.0,4.0,4.0,5.0,6,5,4,0
6504,1,3,53,53,4,58.0,76.0,4.0,21.0,1.0,82.0,4.0,4.0,1.0,12,9,5,0
6505,1,3,48,76,4,91.0,47.0,5.0,80.0,3.0,54.0,1.0,1.0,1.0,7,8,4,0
6506,0,3,7,6,1,6.0,17.0,2.0,37.0,2.0,25.0,1.0,3.0,2.0,3,1,2,0
6507,1,3,16,2,4,85.0,39.0,2.0,79.0,2.0,28.0,1.0,1.0,3.0,3,10,7,0
6509,0,3,4,4,1,13.0,11.0,2.0,44.0,1.0,20.0,1.0,5.0,3.0,1,3,2,0
6514,0,3,7,11,1,9.0,57.0,1.0,45.0,1.0,22.0,2.0,4.0,2.0,4,1,1,0
6517,0,3,7,11,2,13.0,12.0,2.0,46.0,4.0,28.0,1.0,5.0,2.0,4,1,2,0
6519,0,3,8,1,5,8.0,30.0,3.0,33.0,4.0,27.0,1.0,4.0,2.0,1,2,1,0
6520,0,1,97,72,2,75.0,79.0,1.0,52.0,3.0,8.0,1.0,1.0,5.0,4,17,2,0
6523,1,3,7,17,4,21.0,34.0,4.0,78.0,3.0,67.0,1.0,2.0,4.0,16,6,6,0
6524,1,3,40,72,1,56.0,55.0,2.0,7.0,1.0,60.0,1.0,5.0,1.0,16,5,5,0
6525,1,3,17,74,2,56.0,24.0,1.0,7.0,5.0,86.0,2.0,1.0,1.0,16,7,3,0
6527,1,3,9,95,5,49.0,10.0,1.0,62.0,1.0,34.0,2.0,5.0,5.0,1,8,3,0
6530,0,2,13,5,5,39.0,48.0,4.0,74.0,3.0,75.0,2.0,2.0,3.0,20,9,4,0
6532,1,1,89,99,1,52.0,73.0,1.0,15.0,1.0,17.0,3.0,1.0,5.0,4,6,2,1
6533,0,3,69,36,4,56.0,68.0,1.0,32.0,2.0,87.0,1.0,3.0,4.0,9,11,4,0
6535,0,3,4,8,1,2.0,33.0,3.0,28.0,1.0,27.0,1.0,3.0,3.0,0,1,1,0
6536,1,3,65,61,1,57.0,50.0,1.0,56.0,2.0,94.0,3.0,5.0,5.0,15,5,3,0
6537,1,1,50,1,1,54.0,21.0,3.0,28.0,2.0,6.0,5.0,4.0,3.0,5,2,0,1
6538,1,3,58,66,2,50.0,75.0,5.0,46.0,3.0,90.0,1.0,5.0,1.0,14,8,4,0
6539,1,2,11,41,3,21.0,83.0,3.0,10.0,4.0,26.0,4.0,1.0,1.0,19,13,2,0
6540,1,3,52,72,1,51.0,64.0,2.0,29.0,5.0,67.0,5.0,5.0,5.0,7,7,5,0
6541,0,3,5,1,5,12.0,37.0,2.0,40.0,2.0,28.0,3.0,5.0,3.0,4,3,2,0
6542,1,3,76,25,1,81.0,72.0,3.0,55.0,4.0,31.0,1.0,5.0,3.0,14,7,1,0
6543,1,2,3,13,1,11.0,43.0,1.0,36.0,4.0,23.0,5.0,3.0,2.0,1,1,2,0
6545,0,3,4,16,1,11.0,14.0,1.0,38.0,1.0,29.0,1.0,1.0,4.0,3,1,2,0
6546,0,2,95,24,2,88.0,54.0,3.0,3.0,2.0,27.0,2.0,4.0,1.0,12,1,1,0
6548,0,1,78,26,4,86.0,1.0,3.0,59.0,5.0,82.0,3.0,5.0,1.0,17,14,1,0
6549,1,2,66,53,3,59.0,57.0,1.0,24.0,3.0,94.0,4.0,1.0,5.0,14,6,2,0
6550,0,2,2,39,5,15.0,77.0,3.0,98.0,4.0,32.0,5.0,1.0,4.0,15,23,9,0
6551,0,3,19,29,5,28.0,37.0,4.0,48.0,2.0,47.0,1.0,4.0,3.0,16,4,4,0
6552,0,2,3,14,1,6.0,24.0,1.0,25.0,1.0,20.0,1.0,5.0,1.0,1,3,1,0
6555,1,3,48,54,1,73.0,73.0,1.0,74.0,5.0,62.0,3.0,5.0,5.0,12,8,3,0
6556,0,2,82,40,1,61.0,72.0,5.0,65.0,3.0,71.0,1.0,1.0,4.0,17,6,5,0
6557,0,2,28,22,3,89.0,73.0,1.0,67.0,1.0,86.0,1.0,5.0,2.0,12,16,1,0
6559,1,1,77,74,2,81.0,60.0,2.0,79.0,5.0,68.0,5.0,1.0,5.0,17,8,3,0
6560,0,3,96,50,3,52.0,43.0,1.0,20.0,2.0,74.0,2.0,2.0,2.0,13,10,4,0
6561,0,3,3,13,1,11.0,41.0,1.0,40.0,2.0,21.0,1.0,4.0,2.0,0,2,1,0
6563,1,2,81,46,5,61.0,56.0,3.0,0.0,5.0,62.0,2.0,1.0,4.0,17,11,5,0
6564,1,3,5,11,1,5.0,35.0,1.0,46.0,2.0,22.0,3.0,3.0,3.0,2,2,2,0
6569,1,1,8,7,4,44.0,44.0,4.0,51.0,2.0,27.0,2.0,5.0,3.0,17,19,6,0
6570,1,2,36,53,1,60.0,20.0,1.0,27.0,1.0,16.0,5.0,5.0,5.0,12,2,0,1
6571,0,3,9,26,4,48.0,52.0,4.0,63.0,3.0,88.0,1.0,4.0,3.0,26,12,5,0
6574,1,3,7,1,1,4.0,49.0,1.0,30.0,2.0,26.0,2.0,1.0,3.0,2,1,1,0
6576,0,3,8,1,1,13.0,33.0,2.0,44.0,2.0,20.0,1.0,2.0,1.0,2,2,2,0
6577,0,2,5,23,5,48.0,42.0,4.0,72.0,2.0,23.0,1.0,2.0,4.0,15,9,4,0
6578,1,1,14,20,1,25.0,74.0,4.0,88.0,2.0,50.0,1.0,1.0,1.0,0,4,7,0
6581,0,3,6,1,1,3.0,11.0,2.0,24.0,2.0,29.0,2.0,2.0,4.0,3,2,1,0
6582,0,2,12,6,4,52.0,48.0,4.0,69.0,3.0,91.0,2.0,2.0,4.0,21,5,8,0
6583,0,2,85,67,2,81.0,37.0,1.0,3.0,1.0,56.0,1.0,4.0,3.0,14,9,2,0
6585,1,1,15,69,5,2.0,5.0,1.0,43.0,3.0,77.0,2.0,1.0,4.0,0,1,9,0
6587,0,3,82,77,1,43.0,92.0,5.0,23.0,1.0,30.0,4.0,1.0,4.0,9,5,3,0
6588,1,2,7,14,2,7.0,42.0,3.0,45.0,2.0,28.0,1.0,3.0,4.0,4,3,1,0
6589,1,2,1,10,1,11.0,41.0,5.0,31.0,2.0,20.0,1.0,1.0,3.0,3,2,1,0
6590,1,3,73,63,2,56.0,20.0,2.0,38.0,5.0,98.0,1.0,5.0,1.0,10,5,3,0
6593,0,2,8,10,2,4.0,34.0,4.0,31.0,2.0,24.0,1.0,4.0,1.0,3,1,2,0
6596,0,1,5,29,4,50.0,32.0,3.0,50.0,3.0,30.0,2.0,2.0,4.0,19,9,4,0
6597,1,2,11,11,5,43.0,30.0,2.0,82.0,3.0,34.0,2.0,5.0,2.0,28,14,8,0
6599,1,3,76,29,2,56.0,39.0,1.0,47.0,5.0,13.0,1.0,1.0,3.0,7,4,2,0
6600,0,2,1,2,1,1.0,48.0,1.0,43.0,1.0,26.0,1.0,5.0,4.0,2,3,1,0
6601,1,3,98,46,3,70.0,99.0,5.0,61.0,3.0,29.0,5.0,2.0,3.0,5,8,3,1
6602,0,2,2,10,5,30.0,36.0,5.0,60.0,3.0,27.0,1.0,1.0,2.0,4,13,4,0
6603,0,3,60,82,1,48.0,23.0,1.0,77.0,1.0,48.0,4.0,2.0,3.0,10,10,2,0
6604,1,3,70,30,3,83.0,64.0,2.0,27.0,4.0,16.0,1.0,5.0,2.0,4,2,2,0
6605,1,3,68,75,5,62.0,78.0,1.0,7.0,3.0,68.0,1.0,3.0,5.0,17,9,5,0
6606,1,2,96,59,4,49.0,94.0,3.0,35.0,1.0,96.0,1.0,1.0,1.0,4,6,2,0
6607,1,3,1,9,5,47.0,54.0,3.0,51.0,3.0,94.0,5.0,2.0,4.0,11,4,7,0
6611,0,3,18,15,5,53.0,44.0,3.0,61.0,2.0,55.0,3.0,2.0,2.0,19,7,5,0
6612,1,3,33,69,4,66.0,29.0,2.0,43.0,2.0,98.0,4.0,5.0,5.0,7,5,3,0
6614,1,2,67,73,1,61.0,70.0,5.0,15.0,1.0,71.0,5.0,5.0,4.0,15,10,3,0
6615,1,3,62,98,2,79.0,75.0,1.0,25.0,3.0,65.0,5.0,5.0,2.0,6,7,3,0
6616,1,2,54,16,3,13.0,34.0,1.0,6.0,3.0,11.0,4.0,4.0,3.0,4,2,2,1
6617,0,1,68,78,4,43.0,46.0,5.0,8.0,4.0,50.0,1.0,5.0,1.0,10,7,5,0
6618,1,2,67,34,1,53.0,54.0,5.0,27.0,1.0,68.0,5.0,5.0,5.0,3,5,4,0
6620,0,3,72,11,2,83.0,56.0,3.0,62.0,5.0,57.0,4.0,3.0,5.0,17,22,9,0
6621,1,3,52,41,2,67.0,13.0,4.0,75.0,4.0,41.0,5.0,5.0,5.0,8,6,5,0
6622,1,3,33,78,1,66.0,25.0,2.0,59.0,5.0,75.0,3.0,5.0,4.0,9,9,3,0
6623,0,3,1,10,1,1.0,33.0,2.0,25.0,2.0,26.0,2.0,4.0,2.0,0,3,2,0
6624,0,3,4,16,5,2.0,47.0,2.0,34.0,5.0,20.0,5.0,4.0,4.0,0,1,2,0
6625,1,3,7,11,1,8.0,29.0,4.0,49.0,1.0,23.0,3.0,3.0,3.0,2,2,1,0
6626,0,3,72,73,4,40.0,52.0,4.0,0.0,3.0,50.0,4.0,2.0,1.0,15,9,2,0
6627,0,1,6,99,1,10.0,58.0,3.0,76.0,4.0,80.0,1.0,5.0,1.0,10,6,1,0
6628,0,3,6,27,5,45.0,45.0,4.0,81.0,2.0,45.0,3.0,2.0,4.0,5,18,6,0
6630,1,3,88,47,1,13.0,39.0,5.0,89.0,2.0,87.0,1.0,5.0,3.0,15,14,3,0
6631,0,2,4,2,5,3.0,31.0,4.0,32.0,5.0,24.0,2.0,1.0,3.0,4,2,2,0
6632,0,3,6,9,1,8.0,31.0,1.0,49.0,4.0,22.0,4.0,3.0,2.0,1,2,1,0
6633,1,3,10,51,1,92.0,27.0,1.0,41.0,4.0,56.0,4.0,1.0,1.0,8,5,3,0
6634,1,3,76,75,2,85.0,52.0,2.0,48.0,5.0,51.0,2.0,5.0,1.0,12,9,5,0
6635,1,2,70,74,2,65.0,39.0,4.0,68.0,5.0,76.0,1.0,3.0,1.0,13,8,4,0
6636,0,3,6,15,1,5.0,46.0,1.0,43.0,2.0,23.0,4.0,1.0,3.0,1,1,2,0
6637,1,3,67,64,1,72.0,22.0,2.0,59.0,5.0,77.0,1.0,5.0,2.0,14,5,5,0
6638,1,3,19,23,2,1.0,55.0,3.0,39.0,4.0,4.0,5.0,4.0,5.0,10,3,0,1
6640,1,3,44,54,1,84.0,66.0,3.0,5.0,2.0,62.0,3.0,4.0,4.0,12,9,3,0
6641,0,3,65,96,3,51.0,16.0,5.0,17.0,3.0,32.0,2.0,5.0,4.0,3,7,2,0
6642,0,1,97,95,3,61.0,15.0,1.0,23.0,5.0,53.0,1.0,1.0,5.0,11,9,3,0
6644,0,3,2,9,5,6.0,32.0,2.0,35.0,5.0,21.0,1.0,2.0,1.0,0,2,1,0
6645,1,1,95,77,4,46.0,78.0,1.0,8.0,1.0,85.0,5.0,5.0,3.0,15,8,2,0
6647,1,3,95,71,1,91.0,44.0,1.0,41.0,4.0,58.0,2.0,1.0,3.0,13,3,1,0
6648,1,3,71,68,1,90.0,64.0,4.0,81.0,5.0,63.0,1.0,1.0,3.0,7,4,2,0
6649,0,2,12,28,4,45.0,39.0,3.0,60.0,2.0,84.0,4.0,1.0,1.0,13,5,6,0
6651,0,1,81,24,2,30.0,3.0,4.0,20.0,4.0,42.0,1.0,2.0,4.0,5,2,4,0
6652,1,1,63,80,4,67.0,42.0,1.0,64.0,1.0,70.0,5.0,1.0,1.0,12,9,5,0
6654,0,2,3,68,5,37.0,96.0,4.0,98.0,2.0,22.0,4.0,3.0,2.0,8,20,5,0
6655,0,3,2,46,5,78.0,31.0,4.0,60.0,3.0,71.0,5.0,2.0,1.0,5,7,3,0
6658,1,2,83,62,1,3.0,92.0,5.0,0.0,1.0,23.0,3.0,1.0,4.0,5,6,2,1
6659,0,3,13,8,4,47.0,31.0,4.0,75.0,4.0,76.0,3.0,5.0,4.0,8,19,6,0
6660,1,1,67,30,3,48.0,27.0,1.0,76.0,5.0,33.0,4.0,5.0,1.0,7,8,2,0
6661,1,1,57,76,3,40.0,24.0,4.0,26.0,1.0,10.0,5.0,3.0,2.0,6,1,6,0
6662,0,2,69,76,3,79.0,46.0,4.0,78.0,5.0,83.0,5.0,5.0,4.0,8,11,1,0
6663,1,1,9,11,4,31.0,31.0,5.0,54.0,4.0,56.0,1.0,1.0,3.0,9,9,7,0
6664,0,3,80,99,3,47.0,16.0,1.0,73.0,3.0,64.0,1.0,5.0,5.0,5,9,5,0
6666,0,3,7,2,1,3.0,44.0,4.0,35.0,4.0,22.0,1.0,4.0,3.0,1,2,2,0
6667,0,2,6,6,1,2.0,20.0,5.0,45.0,1.0,27.0,3.0,4.0,2.0,0,1,2,0
6668,1,2,63,53,1,75.0,19.0,1.0,21.0,1.0,53.0,5.0,3.0,1.0,3,7,1,0
6669,1,3,72,54,5,79.0,41.0,2.0,90.0,4.0,68.0,1.0,1.0,1.0,11,9,2,0
6670,1,1,36,69,2,59.0,42.0,5.0,66.0,2.0,98.0,1.0,5.0,1.0,12,6,3,0
6671,1,2,82,3,4,3.0,1.0,3.0,48.0,1.0,10.0,3.0,4.0,3.0,3,0,1,1
6672,0,2,5,21,5,35.0,42.0,4.0,58.0,5.0,39.0,3.0,2.0,2.0,24,10,4,0
6674,1,3,7,1,1,8.0,50.0,2.0,24.0,4.0,25.0,4.0,2.0,1.0,3,2,2,0
6675,1,1,17,66,1,54.0,69.0,2.0,0.0,5.0,70.0,3.0,5.0,4.0,12,8,2,0
6676,0,3,11,6,5,28.0,31.0,4.0,59.0,3.0,38.0,4.0,5.0,3.0,27,3,5,0
6677,0,1,17,20,4,25.0,36.0,3.0,61.0,3.0,33.0,1.0,5.0,3.0,19,12,5,0
6679,1,1,25,55,3,86.0,5.0,4.0,45.0,4.0,29.0,3.0,4.0,5.0,1,6,2,1
6681,0,2,60,70,4,45.0,12.0,1.0,7.0,3.0,48.0,1.0,2.0,1.0,10,9,5,0
6684,1,1,49,65,1,84.0,55.0,4.0,15.0,2.0,10.0,5.0,2.0,3.0,11,0,3,1
6686,1,3,1,12,5,2.0,35.0,5.0,41.0,2.0,20.0,1.0,5.0,3.0,2,3,2,0
6687,1,3,77,51,4,99.0,54.0,2.0,76.0,2.0,81.0,3.0,5.0,1.0,16,5,4,0
6688,0,1,9,6,5,35.0,42.0,3.0,80.0,2.0,80.0,2.0,2.0,2.0,15,17,8,0
6689,0,2,75,58,4,61.0,49.0,1.0,59.0,5.0,81.0,4.0,1.0,1.0,12,9,3,0
6691,0,3,13,17,4,31.0,32.0,4.0,93.0,2.0,76.0,3.0,3.0,2.0,8,18,4,0
6693,0,3,24,39,2,46.0,95.0,2.0,41.0,4.0,17.0,4.0,4.0,4.0,15,13,1,0
6694,1,3,66,50,2,73.0,52.0,3.0,32.0,2.0,74.0,1.0,5.0,1.0,11,6,3,0
6695,1,1,52,63,1,59.0,68.0,1.0,69.0,4.0,0.0,3.0,4.0,3.0,9,0,0,1
6698,0,2,4,15,1,13.0,20.0,1.0,35.0,5.0,22.0,2.0,2.0,1.0,4,1,1,0
6699,1,1,28,6,3,16.0,10.0,5.0,42.0,2.0,30.0,1.0,3.0,1.0,8,4,4,0
6700,0,3,44,99,5,59.0,85.0,3.0,23.0,1.0,37.0,1.0,5.0,4.0,4,3,4,0
6701,0,3,73,51,2,41.0,63.0,1.0,54.0,1.0,60.0,1.0,1.0,1.0,11,11,3,0
6702,0,2,59,55,1,53.0,11.0,4.0,28.0,4.0,90.0,2.0,1.0,3.0,7,23,4,0
6707,0,1,1,8,4,54.0,36.0,4.0,54.0,5.0,55.0,1.0,5.0,2.0,3,4,5,0
6710,1,2,63,57,2,62.0,29.0,1.0,12.0,1.0,79.0,1.0,4.0,1.0,3,4,1,0
6711,1,3,97,50,1,50.0,89.0,1.0,75.0,5.0,52.0,4.0,1.0,2.0,10,7,5,0
6712,1,2,73,60,1,14.0,45.0,1.0,67.0,5.0,33.0,4.0,3.0,4.0,8,3,3,1
6713,0,1,14,6,4,36.0,40.0,3.0,86.0,2.0,80.0,1.0,1.0,3.0,19,13,4,0
6715,1,3,60,81,1,87.0,88.0,1.0,41.0,5.0,95.0,1.0,5.0,3.0,16,4,5,0
6716,1,3,61,65,1,91.0,35.0,3.0,30.0,4.0,83.0,3.0,4.0,5.0,17,9,4,0
6717,1,1,56,91,2,69.0,49.0,2.0,26.0,3.0,81.0,3.0,3.0,1.0,7,3,2,0
6718,0,3,8,10,4,26.0,33.0,3.0,97.0,1.0,54.0,3.0,1.0,2.0,7,8,7,0
6720,0,1,18,7,4,29.0,51.0,4.0,75.0,3.0,30.0,1.0,1.0,4.0,26,16,5,0
6721,0,1,61,59,4,61.0,98.0,1.0,4.0,2.0,70.0,5.0,2.0,4.0,19,9,5,0
6723,1,3,1,16,2,1.0,41.0,2.0,40.0,4.0,29.0,4.0,4.0,1.0,1,1,2,0
6724,0,1,98,67,1,83.0,14.0,1.0,39.0,1.0,52.0,1.0,2.0,1.0,12,9,3,0
6725,1,3,5,9,1,10.0,36.0,2.0,31.0,1.0,20.0,1.0,2.0,1.0,0,2,2,0
6727,1,3,9,9,1,10.0,44.0,4.0,47.0,4.0,28.0,4.0,2.0,2.0,3,1,1,0
6729,0,3,67,42,2,5.0,50.0,2.0,53.0,1.0,57.0,4.0,5.0,5.0,17,8,3,0
6730,1,3,41,43,4,50.0,38.0,3.0,48.0,5.0,36.0,3.0,1.0,5.0,9,6,1,1
6731,1,3,45,1,3,6.0,27.0,1.0,12.0,5.0,21.0,4.0,3.0,4.0,0,4,1,1
6732,1,3,4,13,2,4.0,40.0,3.0,29.0,4.0,24.0,3.0,1.0,2.0,4,3,1,0
6733,1,2,61,36,1,61.0,8.0,5.0,49.0,3.0,34.0,1.0,2.0,4.0,14,10,5,0
6734,0,3,24,93,2,59.0,93.0,5.0,61.0,4.0,17.0,4.0,3.0,3.0,7,13,4,0
6735,1,2,3,8,5,34.0,32.0,2.0,96.0,3.0,32.0,3.0,1.0,2.0,8,9,4,0
6737,1,2,92,10,1,25.0,35.0,3.0,1.0,4.0,31.0,5.0,5.0,4.0,9,8,3,1
6738,1,2,63,62,5,51.0,92.0,1.0,39.0,1.0,31.0,1.0,5.0,4.0,11,5,1,0
6740,1,3,88,71,1,95.0,77.0,2.0,63.0,4.0,46.0,1.0,1.0,5.0,14,6,3,0
6741,0,1,96,90,2,66.0,86.0,4.0,26.0,2.0,33.0,1.0,1.0,4.0,19,7,4,0
6743,1,2,98,54,1,59.0,23.0,4.0,76.0,5.0,59.0,4.0,2.0,3.0,7,11,2,0
6744,1,2,10,3,5,39.0,40.0,3.0,92.0,3.0,93.0,4.0,4.0,4.0,9,3,5,0
6745,1,2,9,12,1,6.0,16.0,3.0,40.0,1.0,28.0,1.0,3.0,3.0,1,1,1,0
6747,1,3,60,47,5,97.0,60.0,2.0,87.0,5.0,41.0,1.0,5.0,1.0,8,5,4,0
6748,1,3,17,57,5,85.0,56.0,1.0,69.0,5.0,95.0,3.0,4.0,1.0,16,8,2,0
6752,0,2,6,1,1,2.0,40.0,3.0,44.0,4.0,26.0,1.0,5.0,1.0,3,1,1,0
6754,1,1,37,47,2,53.0,54.0,3.0,1.0,2.0,24.0,5.0,5.0,4.0,2,1,3,1
6756,0,2,7,4,2,3.0,46.0,4.0,41.0,1.0,28.0,4.0,2.0,3.0,4,1,2,0
6757,1,3,77,61,5,89.0,60.0,2.0,48.0,5.0,68.0,3.0,3.0,1.0,12,5,5,0
6758,1,3,77,49,5,86.0,83.0,1.0,28.0,5.0,79.0,2.0,2.0,5.0,19,6,3,0
6759,0,2,96,42,4,48.0,69.0,1.0,3.0,1.0,26.0,1.0,2.0,2.0,7,8,4,0
6760,0,2,86,79,3,86.0,57.0,5.0,68.0,3.0,78.0,5.0,1.0,2.0,14,4,2,0
6761,0,3,7,15,2,4.0,39.0,3.0,27.0,4.0,28.0,2.0,4.0,1.0,1,2,1,0
6762,1,3,14,15,5,44.0,41.0,4.0,84.0,2.0,95.0,1.0,2.0,3.0,27,16,5,0
6763,0,3,6,5,1,9.0,10.0,2.0,26.0,1.0,23.0,2.0,1.0,2.0,1,1,1,0
6764,1,1,2,88,1,64.0,35.0,5.0,35.0,5.0,24.0,3.0,1.0,1.0,8,17,7,0
6766,0,1,23,68,5,34.0,72.0,5.0,21.0,2.0,54.0,5.0,1.0,3.0,0,12,9,0
6768,0,2,5,25,5,44.0,30.0,4.0,60.0,3.0,99.0,1.0,4.0,3.0,20,18,6,0
6769,0,1,91,76,3,46.0,61.0,2.0,16.0,4.0,77.0,4.0,1.0,5.0,16,9,3,0
6770,1,3,12,64,2,96.0,69.0,1.0,96.0,3.0,62.0,1.0,3.0,1.0,5,7,3,0
6771,0,3,3,16,1,6.0,22.0,4.0,45.0,5.0,22.0,1.0,4.0,2.0,0,1,2,0
6772,0,1,18,6,5,35.0,49.0,5.0,92.0,4.0,47.0,5.0,1.0,3.0,21,4,4,0
6773,1,1,51,86,1,43.0,48.0,2.0,35.0,4.0,96.0,3.0,4.0,5.0,12,12,6,0
6776,1,3,76,76,4,85.0,48.0,2.0,13.0,5.0,97.0,1.0,1.0,1.0,10,5,5,0
6777,1,3,76,72,4,5.0,44.0,5.0,55.0,3.0,9.0,2.0,5.0,4.0,4,3,3,1
6778,1,2,12,26,5,22.0,52.0,4.0,69.0,2.0,56.0,2.0,5.0,3.0,3,12,8,0
6780,0,2,9,9,5,1.0,12.0,5.0,38.0,4.0,28.0,1.0,1.0,4.0,3,1,2,0
6781,1,3,95,61,4,85.0,69.0,3.0,3.0,1.0,88.0,5.0,4.0,4.0,7,4,4,0
6782,1,3,20,10,4,0.0,7.0,1.0,10.0,4.0,22.0,5.0,5.0,5.0,4,5,2,1
6783,1,2,5,16,1,8.0,26.0,1.0,28.0,1.0,24.0,5.0,1.0,3.0,3,1,1,0
6784,0,3,90,60,1,70.0,67.0,1.0,24.0,1.0,87.0,2.0,2.0,3.0,5,3,1,0
6785,1,3,12,31,3,8.0,16.0,4.0,31.0,3.0,7.0,5.0,4.0,3.0,0,1,1,1
6786,1,3,61,47,5,45.0,24.0,3.0,28.0,3.0,77.0,1.0,5.0,4.0,16,7,3,0
6787,1,3,74,70,1,64.0,65.0,3.0,88.0,1.0,99.0,2.0,5.0,3.0,10,13,6,0
6788,1,2,6,22,4,29.0,45.0,4.0,75.0,2.0,63.0,1.0,3.0,3.0,13,7,8,0
6789,1,2,6,8,1,7.0,12.0,1.0,30.0,1.0,29.0,2.0,5.0,4.0,0,3,2,0
6791,1,3,76,65,3,56.0,68.0,3.0,50.0,4.0,88.0,3.0,4.0,2.0,8,6,4,0
6792,1,3,82,68,2,62.0,61.0,3.0,41.0,1.0,83.0,1.0,3.0,4.0,3,3,5,0
6795,1,2,10,43,2,68.0,75.0,3.0,92.0,4.0,10.0,1.0,4.0,2.0,12,2,4,0
