,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,dropout
5820,N,second,5,8,B,12,39,C,40,A,24,A,C,B,3,2,1,N
5821,N,third,7,7,A,4,28,D,26,A,29,F,F,C,4,1,2,N
5822,N,third,28,13,B,7,64,B,88,C,,,,,0,2,1,Y
5823,N,third,49,93,C,29,26,F,75,B,75,D,B,A,5,3,5,N
5824,Y,third,11,67,F,77,42,A,60,F,,,,,0,3,1,Y
5825,N,second,71,65,F,55,37,F,78,A,37,B,B,C,8,10,3,N
5826,Y,first,18,15,F,,,,,,,,,,2,1,0,Y
5827,Y,second,3,38,A,12,42,B,40,F,,,,,2,3,1,Y
5828,Y,first,65,40,A,13,99,B,30,F,5,F,F,F,7,1,0,Y
5829,N,third,2,3,A,12,10,A,41,A,21,D,B,A,2,3,2,N
5830,N,second,2,14,A,3,25,A,27,D,22,F,D,C,4,1,1,N
5831,N,second,48,60,A,60,39,D,,,,,,,1,3,2,Y
5832,N,second,19,9,D,40,49,D,59,B,26,A,F,C,29,10,6,N
5833,Y,first,34,67,F,82,19,C,52,D,,,,,2,3,1,Y
5834,N,third,56,42,A,4,69,C,57,C,89,A,A,F,11,21,4,N
5835,N,third,77,38,B,34,76,B,40,A,62,B,A,D,1,3,4,N
5836,N,first,92,25,D,97,19,C,16,B,91,C,C,B,17,24,6,N
5837,Y,first,21,23,B,60,47,C,17,F,,,,,7,0,1,Y
5838,Y,third,32,9,F,93,55,C,14,C,35,F,B,A,2,14,8,N
5839,N,first,7,19,F,49,51,F,85,C,53,A,C,B,21,9,6,N
5840,N,first,4,27,F,38,54,D,50,B,71,F,A,D,8,9,6,N
5841,Y,third,33,52,D,17,13,F,,,,,,,4,0,0,Y
5842,N,third,4,19,F,,,,,,,,,,3,0,0,Y
5843,N,third,2,5,A,1,27,B,46,F,25,D,C,C,3,1,2,N
5844,N,first,2,19,D,23,39,C,76,B,34,A,A,B,29,7,5,N
5845,Y,third,90,13,B,74,43,D,89,D,87,F,D,C,5,3,7,N
5846,Y,third,93,64,C,86,17,A,46,A,70,C,A,B,6,5,3,N
5847,Y,third,35,6,F,46,14,A,84,D,82,A,B,B,8,10,6,N
5848,Y,first,11,76,B,88,45,A,20,B,75,F,F,F,16,6,4,N
5849,N,third,35,59,F,76,60,A,77,D,,,,,8,1,2,Y
5850,N,second,4,23,D,41,54,F,73,B,85,A,A,C,27,7,8,N
5851,Y,second,86,86,D,84,69,C,55,F,59,D,A,C,2,9,4,N
5852,Y,third,66,69,F,63,38,C,22,B,55,F,C,A,11,6,2,N
5853,Y,third,24,73,C,82,56,B,28,F,83,A,F,B,8,7,2,N
5854,Y,third,94,96,D,54,84,F,89,A,53,F,A,A,6,9,2,N
5855,Y,second,68,9,D,66,33,A,53,F,,,,,8,1,1,Y
5856,Y,third,17,72,B,53,42,A,76,C,91,B,A,A,15,5,3,N
5857,N,second,11,2,D,58,50,C,75,B,69,C,F,B,3,12,8,N
5858,Y,first,29,39,D,21,36,F,,,,,,,1,1,0,Y
5859,Y,third,82,74,D,99,21,F,73,B,15,C,A,D,3,20,9,N
5860,Y,third,58,57,C,53,15,D,,,,,,,1,0,0,Y
5861,Y,second,12,65,F,78,76,C,90,F,66,F,C,A,13,9,3,N
5862,Y,third,56,32,C,49,16,F,,,,,,,1,0,1,Y
5863,Y,third,86,33,A,66,53,D,55,A,93,D,F,A,16,7,3,N
5864,Y,third,93,42,B,16,33,C,95,C,1,D,A,B,17,19,8,N
5865,Y,third,92,92,A,52,99,C,28,F,4,B,F,C,14,3,2,Y
5866,N,first,54,50,A,77,40,F,,,,,,,5,0,2,Y
5867,Y,third,37,78,F,73,67,D,77,F,73,C,F,A,11,6,4,N
5868,Y,third,75,42,B,24,8,D,56,F,,,,,5,4,0,Y
5869,N,second,30,58,D,71,98,B,28,A,71,A,B,A,2,23,5,N
5870,N,third,51,12,C,21,23,A,61,D,,,,,5,2,3,Y
5871,Y,first,3,23,D,28,51,D,61,F,87,A,D,D,26,8,8,N
5872,Y,third,13,20,D,44,51,D,48,B,65,C,B,B,27,9,8,N
5873,N,second,67,41,B,13,60,B,99,D,77,A,A,A,19,24,9,N
5874,Y,first,10,14,F,25,39,B,80,C,38,B,B,A,29,14,5,N
5875,Y,third,90,10,B,46,50,A,54,F,,,,,1,3,0,Y
5876,Y,first,19,53,F,78,71,C,69,B,50,C,B,A,11,14,8,N
5877,Y,third,3,12,A,6,22,C,43,A,24,A,C,C,1,2,2,N
5878,N,third,75,58,D,51,32,A,55,A,21,B,A,F,7,10,3,N
5879,Y,first,53,45,C,49,9,F,,,,,,,1,0,1,Y
5880,N,third,64,68,A,31,62,F,63,F,,,,,0,3,1,Y
5881,N,third,63,46,D,46,19,D,56,B,26,A,C,D,18,7,4,N
5882,Y,second,54,46,D,82,22,F,3,D,7,D,B,F,2,0,1,Y
5883,N,third,8,7,A,5,45,F,29,B,27,A,C,A,1,3,2,N
5884,Y,second,38,80,A,59,9,C,34,D,4,B,B,D,9,5,2,Y
5885,Y,second,99,87,C,50,33,F,68,B,26,C,D,F,15,7,1,N
5886,N,third,3,9,A,1,13,C,34,B,27,A,C,C,2,2,2,N
5887,Y,second,45,54,A,12,31,D,15,D,5,F,A,D,1,4,0,Y
5888,N,second,6,25,F,33,54,D,67,C,85,B,F,C,7,18,6,N
5889,N,third,38,61,C,13,31,F,,,,,,,2,4,2,Y
5890,Y,second,75,67,A,33,33,D,,,,,,,5,4,1,Y
5891,Y,second,45,18,D,69,21,C,1,D,40,B,F,F,5,4,2,Y
5892,N,second,4,10,F,31,33,D,94,C,62,B,F,B,17,17,5,N
5893,Y,third,6,6,F,7,50,D,30,D,26,D,A,C,1,1,2,N
5894,N,third,42,64,B,24,94,D,,,,,,,0,4,2,Y
5895,Y,second,1,18,F,,,,,,,,,,1,0,0,Y
5896,N,third,48,42,A,92,56,B,91,F,,,,,11,3,0,Y
5897,Y,third,46,88,A,44,87,A,32,D,,,,,3,0,1,Y
5898,N,first,14,11,F,7,67,C,56,D,80,A,F,D,2,5,8,N
5899,Y,second,24,43,D,38,2,F,,,,,,,3,1,0,Y
5900,Y,second,91,88,B,90,26,B,45,A,74,D,F,A,14,4,5,N
5901,Y,third,62,76,C,92,27,C,60,D,54,C,A,B,12,6,4,N
5902,Y,third,27,39,F,,,,,,,,,,0,2,1,Y
5903,Y,third,74,79,B,60,47,B,46,D,,,,,8,0,0,Y
5904,Y,third,22,2,A,15,10,C,5,A,32,F,D,F,13,1,2,Y
5905,Y,third,57,52,F,89,55,B,48,A,57,D,C,A,9,8,4,N
5906,Y,third,37,41,A,97,49,C,55,C,49,B,F,B,6,4,2,N
5907,Y,second,31,76,B,86,47,D,44,D,,,,,4,1,1,Y
5908,N,first,99,72,A,61,95,D,,,,,,,6,0,1,Y
5909,Y,second,99,47,A,52,9,A,12,A,70,B,D,D,4,7,1,N
5910,Y,third,76,74,F,63,9,F,20,A,7,C,F,D,1,3,0,Y
5911,N,third,3,10,F,1,38,C,42,D,25,F,A,A,2,1,2,N
5912,Y,third,1,0,F,31,50,A,23,C,,,,,5,1,1,Y
5913,Y,third,22,78,B,75,68,A,99,F,77,C,F,D,11,7,2,N
5914,Y,first,96,84,D,58,75,D,5,C,91,B,F,A,5,1,5,N
5915,Y,first,64,8,F,96,96,F,41,C,53,A,A,B,16,16,8,N
5916,Y,second,13,10,F,36,24,B,29,A,84,C,A,F,6,4,1,N
5917,Y,first,4,15,D,28,33,D,84,C,74,A,F,B,12,6,4,N
5918,Y,third,4,4,A,12,23,B,45,A,28,A,C,A,0,3,1,N
5919,Y,first,31,69,B,68,17,F,70,D,,,,,0,0,1,Y
5920,Y,second,6,4,F,33,49,D,92,C,61,A,D,C,4,4,7,N
5921,Y,second,23,77,F,14,7,F,11,D,6,D,F,F,2,7,1,Y
5922,N,second,22,57,C,97,37,D,90,F,63,A,A,A,4,6,1,N
5923,Y,second,58,60,C,86,57,D,34,B,46,F,A,C,11,6,3,N
5924,Y,third,75,50,D,95,39,D,1,F,69,A,D,B,15,6,2,N
5925,Y,third,39,69,D,73,46,D,92,F,83,C,D,A,7,7,3,N
5926,N,first,1,17,F,54,39,F,71,C,54,A,D,B,29,16,5,N
5927,N,second,8,8,A,13,48,F,27,B,29,A,C,C,3,2,2,N
5928,Y,third,94,68,A,65,11,C,33,C,49,F,A,A,9,16,2,N
5929,N,second,1,1,A,6,32,A,24,A,26,A,C,A,4,2,2,N
5930,Y,second,51,65,A,63,64,A,10,A,68,D,D,B,5,17,5,N
5931,Y,second,66,59,B,58,76,B,95,D,96,A,C,A,7,7,4,N
5932,N,first,48,57,B,29,27,F,85,B,47,C,A,A,0,24,7,N
5933,Y,third,66,64,F,75,73,A,61,D,77,D,A,A,9,5,5,N
5934,N,third,5,12,A,3,38,F,26,B,27,F,A,C,3,3,2,N
5935,Y,third,1,7,B,10,14,C,43,A,24,A,C,A,3,2,2,N
5936,Y,third,74,68,A,87,75,B,15,F,52,C,A,F,12,5,2,N
5937,N,third,8,4,B,11,51,B,31,B,28,C,A,C,1,1,2,N
5938,Y,first,8,5,D,,,,,,,,,,0,0,1,Y
5939,Y,third,35,12,B,61,74,C,11,F,25,A,B,A,15,1,8,N
5940,Y,third,43,51,A,81,52,B,15,D,57,A,F,A,5,7,5,N
5941,Y,first,3,27,B,96,48,A,72,A,31,A,D,A,1,23,7,N
5942,N,second,65,81,A,79,76,A,67,A,86,F,F,D,13,4,5,N
5943,N,third,2,12,A,2,52,A,33,A,25,B,F,A,1,1,1,N
5944,N,second,3,3,A,3,39,B,26,D,29,C,D,C,1,3,2,N
5945,N,second,8,16,B,4,24,B,35,A,23,C,A,D,2,1,1,N
5946,N,third,2,2,F,36,32,D,98,C,45,B,C,C,20,9,4,N
5947,Y,first,62,28,C,78,95,D,55,C,5,D,B,D,6,0,0,Y
5948,Y,third,9,15,A,10,10,C,24,A,21,B,C,D,4,1,1,N
5949,Y,third,20,52,D,94,30,C,0,F,65,A,F,D,16,7,3,N
5950,N,second,74,39,B,57,4,A,15,F,99,F,D,C,18,7,3,N
5951,Y,first,52,58,C,60,9,F,,,,,,,1,1,1,Y
5952,Y,third,74,71,D,74,32,F,39,F,,,,,3,1,1,Y
5953,Y,third,82,52,A,40,61,D,16,A,51,C,C,A,5,8,1,N
5954,N,third,51,74,C,82,34,F,,,,,,,4,2,1,Y
5955,Y,first,15,76,A,60,25,B,96,F,83,A,C,A,9,5,5,N
5956,Y,first,44,56,F,53,23,B,29,F,,,,,3,3,0,Y
5957,N,second,85,81,A,80,24,D,11,C,62,A,B,A,4,10,5,N
5958,Y,second,97,36,A,61,9,A,42,F,90,A,A,D,18,11,5,N
5959,Y,first,58,34,C,72,85,A,87,D,,,,,9,3,1,Y
5960,Y,second,5,27,D,59,33,B,96,F,67,D,B,A,17,4,5,N
5961,N,third,68,85,F,6,39,F,26,F,54,A,A,A,9,14,9,N
5962,Y,third,1,13,B,1,14,B,46,A,26,A,F,A,1,1,2,N
5963,Y,first,55,78,A,53,55,F,,,,,,,4,2,0,Y
5964,Y,second,59,36,A,48,11,F,,,,,,,1,2,1,Y
5965,Y,third,31,92,D,68,21,C,25,C,5,B,B,C,7,2,1,Y
5966,Y,third,47,71,A,15,0,B,43,C,,,,,5,0,1,Y
5967,Y,second,4,10,B,12,48,C,40,A,21,D,C,C,4,2,1,N
5968,Y,third,78,74,A,63,4,A,45,A,83,A,C,C,14,6,2,N
5969,Y,third,59,20,B,79,77,F,26,C,63,C,F,A,13,5,4,N
5970,N,third,76,43,D,83,17,B,39,F,41,F,A,D,11,7,4,N
5971,N,first,19,18,F,38,47,B,46,C,27,A,A,B,23,10,4,N
5972,N,second,99,69,A,40,58,A,64,B,49,B,B,F,5,10,3,N
5973,Y,first,56,25,B,68,5,D,,,,,,,1,1,1,Y
5974,N,first,3,25,D,38,38,D,83,C,27,B,C,C,6,15,6,N
5975,N,second,10,99,C,68,98,A,58,D,90,A,B,C,0,22,6,N
5976,Y,third,8,1,A,2,39,C,45,B,22,A,A,D,4,1,1,N
5977,Y,second,80,78,A,85,88,B,5,F,31,F,D,A,11,9,3,N
5978,N,third,10,85,A,7,97,A,91,B,38,A,A,C,18,3,2,N
5979,Y,first,25,69,C,74,61,B,51,B,66,B,F,F,7,8,3,N
5980,Y,second,0,9,D,57,12,D,31,D,17,D,D,C,1,4,0,Y
5981,N,first,15,4,F,21,43,D,74,C,57,F,A,A,21,10,8,N
5982,Y,second,8,2,B,13,30,F,40,D,22,B,C,B,4,1,1,N
5983,Y,third,6,1,D,25,89,F,64,C,5,F,B,F,3,3,2,Y
5984,Y,first,33,38,B,1,56,C,,,,,,,1,1,0,Y
5985,N,first,14,13,F,98,56,B,63,F,91,A,B,C,3,13,9,N
5986,Y,second,50,41,F,34,0,B,26,F,,,,,3,3,0,Y
5987,Y,third,59,44,B,41,20,B,76,C,69,F,D,A,4,16,3,N
5988,Y,third,8,3,B,13,22,C,39,D,21,D,F,D,3,1,2,N
5989,Y,second,58,1,F,14,76,F,71,B,32,B,D,F,11,6,6,N
5990,Y,first,3,13,F,,,,,,,,,,1,1,0,Y
5991,N,second,85,96,C,60,27,F,79,F,,,,,8,1,2,Y
5992,N,second,4,13,F,33,54,D,84,F,21,B,B,C,22,15,8,N
5993,N,second,8,9,A,5,10,D,26,D,23,C,A,A,4,3,1,N
5994,Y,third,3,7,F,32,46,D,69,A,78,A,B,B,24,16,5,N
5995,Y,third,9,48,B,14,43,B,85,D,,,,,9,1,1,Y
5996,N,first,82,99,F,17,57,D,42,C,4,D,A,A,15,20,6,N
5997,Y,first,3,1,F,48,53,C,64,C,67,C,F,A,14,6,4,N
5998,N,second,71,36,D,65,42,C,65,F,39,A,B,B,9,9,3,N
5999,N,second,8,27,D,23,50,D,51,B,63,C,D,B,10,14,4,N
6000,N,first,16,16,D,47,33,D,75,C,62,A,A,C,14,3,4,N
6001,N,second,57,84,D,86,45,D,18,B,64,A,F,C,2,19,1,N
6002,Y,second,82,22,D,52,30,C,51,C,4,C,B,F,3,1,2,Y
6003,N,third,13,16,D,37,44,D,87,B,39,C,F,A,12,13,8,N
6004,Y,third,9,13,A,11,17,B,38,D,21,A,B,C,0,2,1,N
6005,Y,third,63,70,D,46,6,A,65,A,54,F,D,D,4,6,3,N
6006,Y,first,70,69,C,50,26,A,14,B,38,F,A,D,8,7,1,N
6007,N,second,79,81,F,72,84,D,,,,,,,1,3,1,Y
6008,N,first,14,10,F,40,53,C,71,B,32,A,B,C,19,11,4,N
6009,Y,third,76,94,A,69,19,D,22,F,,,,,0,1,0,Y
6010,Y,second,27,69,D,43,50,F,36,D,20,B,A,D,0,3,2,Y
6011,N,second,69,53,A,89,43,D,,,,,,,5,0,1,Y
6012,N,second,74,59,A,71,43,A,9,B,72,C,B,F,3,9,4,N
6013,Y,first,20,36,D,6,4,F,,,,,,,4,0,0,Y
6014,Y,first,18,95,A,55,76,F,45,D,37,F,D,D,8,4,0,Y
6015,Y,third,27,78,C,81,49,A,30,F,60,F,F,D,10,6,9,N
6016,Y,second,12,41,D,40,7,F,21,D,,,,,3,3,1,Y
6017,N,first,4,23,D,41,44,D,59,C,91,F,A,B,15,18,4,N
6018,N,third,25,53,D,86,44,F,,,,,,,5,0,2,Y
6019,Y,third,43,54,D,33,9,C,,,,,,,0,1,0,Y
6020,N,second,63,50,D,40,28,F,,,,,,,7,1,0,Y
6021,N,second,8,2,A,7,40,D,31,B,20,A,F,C,2,1,1,N
6022,N,second,3,24,D,44,30,C,81,B,47,C,B,B,22,7,4,N
6023,Y,third,21,18,A,81,52,A,68,B,4,A,A,C,10,0,1,Y
6024,Y,second,36,60,B,81,13,C,28,D,83,D,A,A,19,9,6,N
6025,Y,first,48,95,C,30,97,C,33,A,36,A,C,F,8,6,1,Y
6026,Y,first,44,54,D,10,13,D,,,,,,,0,1,1,Y
6027,Y,first,11,4,F,,,,,,,,,,1,0,1,Y
6028,Y,first,48,34,D,13,83,D,99,F,86,C,A,D,19,15,6,N
6029,N,third,3,14,B,1,47,A,33,B,29,F,A,C,2,3,1,N
6030,Y,first,65,57,F,77,73,B,15,F,97,F,F,F,8,8,2,N
6031,Y,first,24,29,B,23,24,A,1,C,30,D,C,D,10,2,1,Y
6032,Y,second,31,64,B,83,53,B,33,D,71,C,C,B,14,8,3,N
6033,Y,first,75,77,D,48,79,D,,,,,,,4,0,2,Y
6034,N,third,23,66,A,43,16,F,,,,,,,6,4,2,Y
6035,N,second,16,25,F,36,31,F,95,B,84,C,F,B,9,8,4,N
6036,N,second,5,1,F,1,30,B,42,D,20,D,A,D,0,1,2,N
6037,N,second,1,14,B,13,16,B,45,A,24,D,A,D,2,2,1,N
6038,N,third,9,3,F,10,56,D,48,F,25,B,F,B,3,3,2,N
6039,N,second,72,52,A,75,98,D,58,B,22,D,B,A,8,3,2,N
6040,Y,second,15,16,F,30,44,F,63,C,66,C,B,B,19,13,5,N
6041,Y,first,75,8,F,81,42,F,78,A,39,C,A,F,9,10,7,N
6042,Y,third,27,1,D,,,,,,,,,,4,1,0,Y
6043,N,third,8,1,A,10,53,C,30,D,25,B,A,C,2,3,2,N
6044,Y,third,34,48,B,27,11,F,,,,,,,0,0,1,Y
6045,Y,first,71,17,F,80,76,D,87,F,65,D,C,C,0,16,1,N
6046,Y,second,73,40,A,58,57,A,15,B,22,C,B,F,12,11,3,N
6047,N,third,2,29,D,37,39,D,95,B,90,D,C,B,23,18,4,N
6048,Y,second,5,6,F,58,36,D,79,B,35,A,D,D,29,3,8,N
6049,Y,first,17,15,B,,,,,,,,,,1,1,1,Y
6050,Y,third,37,67,F,67,77,A,56,C,1,D,A,F,11,8,1,Y
6051,Y,third,98,17,D,59,28,A,39,D,26,D,A,D,12,0,3,Y
6052,N,first,84,9,A,42,79,F,21,F,77,A,A,B,14,20,2,N
6053,Y,second,95,80,B,88,9,C,44,A,91,A,A,F,5,5,5,N
6054,Y,second,6,6,F,22,75,B,62,C,,,,,1,2,0,Y
6055,Y,first,39,30,B,21,56,D,53,D,,,,,0,3,0,Y
6056,Y,third,52,68,A,52,68,A,62,D,81,A,D,B,6,6,3,N
6057,Y,first,12,79,A,69,34,A,98,A,88,C,F,D,8,9,5,N
6058,Y,first,18,10,F,,,,,,,,,,1,0,0,Y
6059,N,third,19,6,F,29,45,D,94,C,89,A,F,D,19,14,5,N
6060,N,third,8,10,A,11,36,A,24,A,25,A,D,D,2,3,2,N
6061,N,third,3,10,F,4,36,D,32,A,21,A,A,A,2,1,1,N
6062,N,third,87,11,D,25,60,A,29,C,19,A,A,B,2,22,6,N
6063,Y,first,50,34,B,45,11,F,,,,,,,1,1,0,Y
6064,N,first,10,18,F,38,49,C,60,B,77,A,C,D,16,6,4,N
6065,Y,third,4,13,A,3,14,A,46,A,28,A,B,C,1,2,2,N
6066,Y,first,99,59,A,54,5,C,16,F,86,A,A,B,9,7,3,N
6067,Y,first,22,38,A,39,57,F,,,,,,,4,1,1,Y
6068,N,second,73,59,D,81,8,A,89,C,44,C,A,C,14,18,9,N
6069,Y,third,38,50,C,92,70,C,84,F,87,B,F,A,12,6,2,N
6070,N,third,7,10,A,5,14,B,29,A,25,A,A,C,4,2,1,N
6071,N,third,4,3,A,8,37,B,29,D,26,A,C,A,0,3,1,N
6072,N,third,66,44,A,66,26,D,5,B,99,C,D,A,18,11,4,N
6073,N,third,95,48,A,90,19,A,78,C,57,F,F,D,15,9,1,N
6074,Y,second,63,66,C,58,81,A,18,F,85,A,A,A,16,6,2,N
6075,Y,first,72,63,C,53,48,A,34,D,68,C,F,B,12,8,3,N
6076,Y,third,52,53,A,70,61,C,29,A,87,F,F,D,15,7,2,N
6077,N,second,14,3,D,24,43,C,59,A,99,A,D,B,20,18,8,N
6078,N,third,7,14,B,4,46,A,33,A,23,A,C,B,3,3,2,N
6079,Y,third,92,33,A,45,35,C,17,A,42,A,A,C,10,8,2,N
6080,Y,second,44,39,A,47,12,F,,,,,,,0,0,0,Y
6081,Y,third,91,65,D,54,68,A,57,A,55,A,A,A,5,4,4,N
6082,Y,first,90,31,C,78,66,F,45,A,81,A,C,C,15,5,2,N
6083,Y,third,77,73,D,82,93,A,9,A,92,D,A,B,17,8,1,N
6084,Y,second,99,66,B,45,21,B,8,A,54,D,C,A,7,11,3,N
6085,Y,third,71,13,C,82,2,A,30,D,36,C,D,D,2,2,1,Y
6086,Y,third,37,65,D,69,47,B,52,D,64,B,D,A,9,9,4,N
6087,N,third,16,12,F,56,49,D,80,A,47,F,D,A,22,5,4,N
6088,Y,second,24,42,A,27,14,F,,,,,,,0,1,1,Y
6089,N,second,4,12,B,11,19,D,45,A,29,F,A,C,3,3,2,N
6090,Y,third,48,11,B,38,6,D,49,B,35,F,F,D,4,0,3,Y
6091,Y,third,73,65,B,97,54,B,97,F,58,A,F,A,5,8,2,N
6092,Y,first,63,61,A,91,45,A,54,F,84,A,A,B,13,7,2,N
6093,Y,third,73,11,F,1,17,B,6,B,81,D,F,C,9,13,1,N
6094,Y,second,73,67,D,88,20,F,81,F,12,A,C,F,18,1,6,N
6095,Y,third,1,2,B,4,8,B,27,B,24,D,A,A,4,2,1,N
6096,Y,first,63,67,B,91,64,C,0,B,68,F,F,A,5,8,2,N
6097,N,third,9,11,A,9,57,C,31,B,27,A,A,A,2,2,2,N
6098,Y,third,13,53,F,,,,,,,,,,1,0,0,Y
6099,N,third,78,88,A,21,2,A,92,F,,,,,4,3,3,Y
6100,Y,second,5,13,F,,,,,,,,,,1,0,1,Y
6101,Y,third,3,87,D,77,16,F,9,C,11,F,D,C,7,4,2,Y
6102,Y,third,10,55,D,89,4,A,50,D,0,F,F,D,1,3,1,Y
6103,Y,third,43,55,B,81,57,B,10,A,53,D,A,B,9,7,2,N
6104,N,third,2,3,A,3,22,A,34,D,28,B,A,D,4,2,1,N
6105,N,third,14,26,F,37,35,D,71,B,64,A,C,C,14,17,5,N
6106,N,third,33,68,B,4,63,D,,,,,,,1,1,2,Y
6107,Y,third,51,41,A,52,1,F,,,,,,,0,0,1,Y
6108,N,first,6,27,F,36,53,F,50,D,25,C,D,C,14,17,4,N
6109,N,second,10,28,D,44,44,F,95,A,32,C,A,B,26,8,5,N
6110,Y,third,53,78,B,60,54,B,64,F,83,B,F,A,16,7,5,N
6111,Y,first,15,29,F,21,34,F,13,F,21,D,C,C,13,1,2,Y
6112,N,second,6,12,A,2,33,C,49,A,20,A,A,D,1,1,1,N
6113,N,third,1,23,C,99,39,C,71,F,,,,,11,4,1,Y
6114,N,second,63,62,A,70,24,A,58,A,49,A,D,D,8,5,3,N
6115,Y,second,45,27,D,76,46,D,82,B,62,F,F,A,5,22,1,N
6116,Y,third,84,12,A,15,41,D,12,D,37,C,F,D,3,0,3,Y
6117,Y,second,65,98,A,87,17,C,51,B,36,A,F,A,8,5,1,N
6118,Y,first,69,13,B,19,47,F,13,C,,,,,3,1,0,Y
6119,Y,second,25,96,A,4,47,D,14,F,30,A,B,F,8,0,0,Y
6120,N,third,87,95,A,60,99,A,59,A,57,C,A,C,11,11,2,N
6121,Y,first,87,58,B,68,74,A,34,D,1,F,A,D,2,8,2,N
6122,Y,third,55,18,C,64,9,A,68,C,99,A,A,D,18,10,6,N
6123,N,second,3,3,F,5,42,D,42,A,25,B,C,C,2,3,2,N
6124,N,second,3,2,A,13,38,B,41,D,22,A,C,D,2,2,1,N
6125,Y,second,54,26,D,44,10,F,,,,,,,1,2,1,Y
6126,N,third,1,33,F,,,,,,,,,,3,1,0,Y
6127,Y,third,80,15,C,74,68,F,79,D,59,F,B,F,1,1,3,Y
6128,N,third,7,10,F,8,12,B,30,F,23,A,D,D,4,1,1,N
6129,N,second,13,26,B,,,,,,,,,,6,2,0,Y
6130,Y,third,38,88,C,22,81,A,66,D,,,,,8,0,1,Y
6131,Y,third,75,76,D,59,21,A,78,C,43,A,A,C,13,9,3,N
6132,Y,second,53,52,C,65,17,F,,,,,,,0,2,1,Y
6133,Y,third,1,27,D,27,39,B,96,D,22,C,B,C,25,11,8,N
6134,Y,third,6,2,A,12,45,D,29,A,27,F,A,C,2,3,1,N
6135,Y,third,52,38,D,53,22,F,,,,,,,1,1,0,Y
6136,N,third,78,4,A,32,33,C,84,D,,,,,2,4,1,Y
6137,N,second,75,41,D,86,92,C,35,A,94,F,B,C,3,3,2,N
6138,Y,third,9,2,A,9,59,C,44,B,22,F,A,D,0,4,2,Y
6139,Y,second,49,53,B,74,59,B,23,F,90,B,C,B,8,6,5,N
6140,N,second,92,93,F,49,78,F,37,F,56,B,A,A,13,4,1,N
6141,Y,second,16,58,A,36,20,A,46,C,,,,,3,3,0,Y
6142,Y,second,30,31,D,5,51,A,35,D,,,,,9,2,1,Y
6143,N,third,8,12,F,9,24,A,46,D,22,A,B,A,1,2,1,N
6144,Y,first,26,25,B,,,,,,,,,,2,2,1,Y
6145,Y,third,53,69,F,82,12,B,33,D,,,,,4,0,1,Y
6146,Y,first,64,98,C,42,66,B,22,D,24,F,C,F,5,4,2,Y
6147,N,third,4,4,A,1,40,C,24,F,21,B,C,A,3,1,1,N
6148,N,third,17,19,F,,,,,,,,,,5,2,1,Y
6149,Y,third,7,7,A,12,38,C,37,D,28,B,B,B,1,3,2,N
6150,N,third,75,88,B,69,48,F,2,D,1,F,A,C,9,9,5,N
6151,N,second,46,25,A,67,28,D,84,B,44,C,C,A,14,10,3,N
6152,Y,second,1,14,A,4,25,C,48,A,24,A,A,D,0,2,1,N
6153,Y,third,59,59,B,78,70,C,77,B,99,C,F,B,14,5,5,N
6154,N,second,31,4,D,19,75,F,85,B,76,F,C,D,10,16,1,N
6155,Y,third,30,20,A,33,44,C,42,C,15,F,B,D,12,4,3,Y
6156,N,second,14,21,F,56,40,C,68,C,42,F,D,A,19,3,5,N
6157,Y,third,79,67,A,70,4,A,6,B,20,A,A,D,12,4,2,N
6158,Y,first,13,17,D,47,31,C,67,B,45,A,C,B,23,14,7,N
6159,N,first,64,49,D,85,54,A,54,A,87,B,A,A,8,3,4,N
6160,Y,third,73,52,A,81,77,F,,,,,,,5,4,0,Y
6161,N,second,96,52,A,58,92,A,6,F,30,B,F,C,5,7,3,N
6162,N,second,93,91,B,62,48,C,9,C,83,C,F,A,19,9,2,N
6163,Y,first,67,93,F,75,33,F,63,F,1,C,F,C,6,4,4,N
6164,Y,third,8,14,F,4,9,D,35,A,24,A,C,A,3,3,2,N
6165,Y,third,39,39,D,25,10,D,,,,,,,4,1,0,Y
6166,Y,second,12,52,A,69,47,A,2,B,92,F,F,A,11,5,5,N
6167,Y,second,27,21,D,,,,,,,,,,2,1,1,Y
6168,Y,third,66,79,B,90,71,D,63,D,18,A,A,C,14,2,3,N
6169,N,third,23,22,F,,,,,,,,,,5,2,1,Y
6170,Y,second,62,57,A,66,74,B,14,D,76,D,A,A,11,9,3,N
6171,Y,first,50,63,B,86,60,A,21,B,95,C,F,D,17,7,4,N
6172,Y,third,79,70,C,57,38,A,14,A,92,C,C,A,15,5,2,N
6173,Y,second,71,51,F,12,77,A,43,B,14,A,A,A,7,17,2,N
6174,N,third,82,48,A,41,61,A,17,F,92,B,A,A,13,8,3,N
6175,Y,third,26,66,F,71,50,F,99,A,69,A,A,A,7,8,3,N
6176,Y,third,6,10,F,11,43,D,37,A,27,A,A,C,3,3,2,N
6177,N,third,4,6,F,2,25,B,47,F,26,A,D,A,0,3,2,N
6178,Y,third,60,48,C,49,80,A,76,C,98,D,A,D,10,10,1,N
6179,Y,third,23,81,A,74,90,D,0,D,22,D,B,D,9,5,1,Y
6180,N,second,5,1,A,5,33,B,25,B,24,C,A,C,0,3,1,N
