,External,Year,session 1,session 2,test 1
5895,Y,second,1,18,F
5896,N,third,48,42,A
5897,Y,third,46,88,A
5898,N,first,14,11,F
5899,Y,second,24,43,D
5900,Y,second,91,88,B
5901,Y,third,62,76,C
5902,Y,third,27,39,F
5903,Y,third,74,79,B
5904,Y,third,22,2,A
5905,Y,third,57,52,F
5906,Y,third,37,41,A
5907,Y,second,31,76,B
5908,N,first,99,72,A
5909,Y,second,99,47,A
5910,Y,third,76,74,F
5911,N,third,3,10,F
5912,Y,third,1,0,F
5913,Y,third,22,78,B
5914,Y,first,96,84,D
5915,Y,first,64,8,F
5916,Y,second,13,10,F
5917,Y,first,4,15,D
5918,Y,third,4,4,A
5919,Y,first,31,69,B
5920,Y,second,6,4,F
5921,Y,second,23,77,F
5922,N,second,22,57,C
5923,Y,second,58,60,C
5924,Y,third,75,50,D
5925,Y,third,39,69,D
5926,N,first,1,17,F
5927,N,second,8,8,A
5928,Y,third,94,68,A
5929,N,second,1,1,A
5930,Y,second,51,65,A
5931,Y,second,66,59,B
5932,N,first,48,57,B
5933,Y,third,66,64,F
5934,N,third,5,12,A
5935,Y,third,1,7,B
5936,Y,third,74,68,A
5937,N,third,8,4,B
5938,Y,first,8,5,D
5939,Y,third,35,12,B
5940,Y,third,43,51,A
5941,Y,first,3,27,B
5942,N,second,65,81,A
5943,N,third,2,12,A
5944,N,second,3,3,A
5945,N,second,8,16,B
5946,N,third,2,2,F
5947,Y,first,62,28,C
5948,Y,third,9,15,A
5949,Y,third,20,52,D
5950,N,second,74,39,B
5951,Y,first,52,58,C
5952,Y,third,74,71,D
5953,Y,third,82,52,A
5954,N,third,51,74,C
5955,Y,first,15,76,A
5956,Y,first,44,56,F
5957,N,second,85,81,A
5958,Y,second,97,36,A
5959,Y,first,58,34,C
5960,Y,second,5,27,D
5961,N,third,68,85,F
5962,Y,third,1,13,B
5963,Y,first,55,78,A
5964,Y,second,59,36,A
5965,Y,third,31,92,D
5966,Y,third,47,71,A
5967,Y,second,4,10,B
5968,Y,third,78,74,A
5969,Y,third,59,20,B
5970,N,third,76,43,D
5971,N,first,19,18,F
5972,N,second,99,69,A
5973,Y,first,56,25,B
5974,N,first,3,25,D
5975,N,second,10,99,C
5976,Y,third,8,1,A
5977,Y,second,80,78,A
5978,N,third,10,85,A
5979,Y,first,25,69,C
5980,Y,second,0,9,D
5981,N,first,15,4,F
5982,Y,second,8,2,B
5983,Y,third,6,1,D
5984,Y,first,33,38,B
5985,N,first,14,13,F
5986,Y,second,50,41,F
5987,Y,third,59,44,B
5988,Y,third,8,3,B
5989,Y,second,58,1,F
5990,Y,first,3,13,F
5991,N,second,85,96,C
5992,N,second,4,13,F
5993,N,second,8,9,A
5994,Y,third,3,7,F
5995,Y,third,9,48,B
5996,N,first,82,99,F
5997,Y,first,3,1,F
5998,N,second,71,36,D
5999,N,second,8,27,D
6000,N,first,16,16,D
6001,N,second,57,84,D
6002,Y,second,82,22,D
6003,N,third,13,16,D
6004,Y,third,9,13,A
6005,Y,third,63,70,D
6006,Y,first,70,69,C
6007,N,second,79,81,F
6008,N,first,14,10,F
6009,Y,third,76,94,A
6010,Y,second,27,69,D
6011,N,second,69,53,A
6012,N,second,74,59,A
6013,Y,first,20,36,D
6014,Y,first,18,95,A
6015,Y,third,27,78,C
6016,Y,second,12,41,D
6017,N,first,4,23,D
6018,N,third,25,53,D
6019,Y,third,43,54,D
6020,N,second,63,50,D
6021,N,second,8,2,A
6022,N,second,3,24,D
6023,Y,third,21,18,A
6024,Y,second,36,60,B
6025,Y,first,48,95,C
6026,Y,first,44,54,D
6027,Y,first,11,4,F
6028,Y,first,48,34,D
6029,N,third,3,14,B
6030,Y,first,65,57,F
6031,Y,first,24,29,B
6032,Y,second,31,64,B
6033,Y,first,75,77,D
6034,N,third,23,66,A
6035,N,second,16,25,F
6036,N,second,5,1,F
6037,N,second,1,14,B
6038,N,third,9,3,F
6039,N,second,72,52,A
6040,Y,second,15,16,F
6041,Y,first,75,8,F
6042,Y,third,27,1,D
6043,N,third,8,1,A
6044,Y,third,34,48,B
6045,Y,first,71,17,F
6046,Y,second,73,40,A
6047,N,third,2,29,D
6048,Y,second,5,6,F
6049,Y,first,17,15,B
6050,Y,third,37,67,F
6051,Y,third,98,17,D
6052,N,first,84,9,A
6053,Y,second,95,80,B
6054,Y,second,6,6,F
6055,Y,first,39,30,B
6056,Y,third,52,68,A
6057,Y,first,12,79,A
6058,Y,first,18,10,F
6059,N,third,19,6,F
6060,N,third,8,10,A
6061,N,third,3,10,F
6062,N,third,87,11,D
6063,Y,first,50,34,B
6064,N,first,10,18,F
6065,Y,third,4,13,A
6066,Y,first,99,59,A
6067,Y,first,22,38,A
6068,N,second,73,59,D
6069,Y,third,38,50,C
6070,N,third,7,10,A
6071,N,third,4,3,A
6072,N,third,66,44,A
6073,N,third,95,48,A
6074,Y,second,63,66,C
6075,Y,first,72,63,C
6076,Y,third,52,53,A
6077,N,second,14,3,D
6078,N,third,7,14,B
6079,Y,third,92,33,A
6080,Y,second,44,39,A
6081,Y,third,91,65,D
6082,Y,first,90,31,C
6083,Y,third,77,73,D
6084,Y,second,99,66,B
6085,Y,third,71,13,C
6086,Y,third,37,65,D
6087,N,third,16,12,F
6088,Y,second,24,42,A
6089,N,second,4,12,B
6090,Y,third,48,11,B
6091,Y,third,73,65,B
6092,Y,first,63,61,A
6093,Y,third,73,11,F
6094,Y,second,73,67,D
6095,Y,third,1,2,B
6096,Y,first,63,67,B
6097,N,third,9,11,A
6098,Y,third,13,53,F
6099,N,third,78,88,A
6100,Y,second,5,13,F
6101,Y,third,3,87,D
6102,Y,third,10,55,D
6103,Y,third,43,55,B
6104,N,third,2,3,A
6105,N,third,14,26,F
6106,N,third,33,68,B
6107,Y,third,51,41,A
6108,N,first,6,27,F
6109,N,second,10,28,D
6110,Y,third,53,78,B
6111,Y,first,15,29,F
6112,N,second,6,12,A
6113,N,third,1,23,C
6114,N,second,63,62,A
6115,Y,second,45,27,D
6116,Y,third,84,12,A
6117,Y,second,65,98,A
6118,Y,first,69,13,B
6119,Y,second,25,96,A
6120,N,third,87,95,A
6121,Y,first,87,58,B
6122,Y,third,55,18,C
6123,N,second,3,3,F
6124,N,second,3,2,A
6125,Y,second,54,26,D
6126,N,third,1,33,F
6127,Y,third,80,15,C
6128,N,third,7,10,F
6129,N,second,13,26,B
6130,Y,third,38,88,C
6131,Y,third,75,76,D
6132,Y,second,53,52,C
6133,Y,third,1,27,D
6134,Y,third,6,2,A
6135,Y,third,52,38,D
6136,N,third,78,4,A
6137,N,second,75,41,D
6138,Y,third,9,2,A
6139,Y,second,49,53,B
6140,N,second,92,93,F
6141,Y,second,16,58,A
6142,Y,second,30,31,D
6143,N,third,8,12,F
6144,Y,first,26,25,B
6145,Y,third,53,69,F
6146,Y,first,64,98,C
6147,N,third,4,4,A
6148,N,third,17,19,F
6149,Y,third,7,7,A
6150,N,third,75,88,B
6151,N,second,46,25,A
6152,Y,second,1,14,A
6153,Y,third,59,59,B
6154,N,second,31,4,D
6155,Y,third,30,20,A
6156,N,second,14,21,F
6157,Y,third,79,67,A
6158,Y,first,13,17,D
6159,N,first,64,49,D
6160,Y,third,73,52,A
6161,N,second,96,52,A
6162,N,second,93,91,B
6163,Y,first,67,93,F
6164,Y,third,8,14,F
6165,Y,third,39,39,D
6166,Y,second,12,52,A
6167,Y,second,27,21,D
6168,Y,third,66,79,B
6169,N,third,23,22,F
6170,Y,second,62,57,A
6171,Y,first,50,63,B
6172,Y,third,79,70,C
6173,Y,second,71,51,F
6174,N,third,82,48,A
6175,Y,third,26,66,F
6176,Y,third,6,10,F
6177,N,third,4,6,F
6178,Y,third,60,48,C
6179,Y,third,23,81,A
6180,N,second,5,1,A
6181,Y,first,41,46,B
6182,Y,second,22,69,A
6183,N,third,3,9,F
6184,Y,third,68,74,F
6185,N,second,66,45,B
6186,Y,first,7,56,A
6187,Y,third,47,55,A
6188,Y,first,56,37,C
6189,Y,third,1,1,B
6190,Y,first,44,40,D
6191,Y,third,55,85,A
6192,N,third,68,52,B
6193,N,second,80,79,A
6194,Y,second,80,68,C
6195,N,second,64,44,A
6196,Y,second,8,17,A
6197,N,second,95,81,D
6198,Y,third,55,82,B
6199,Y,first,22,5,C
6200,Y,third,59,37,D
6201,N,third,10,6,D
6202,Y,third,66,72,C
6203,Y,second,84,64,A
6204,Y,first,43,55,A
6205,Y,first,67,27,F
6206,Y,second,36,59,B
6207,Y,first,64,54,B
6208,N,first,19,26,D
6209,N,third,82,50,D
6210,N,third,53,65,B
6211,Y,first,34,15,A
6212,Y,first,49,37,D
6213,N,second,17,85,A
6214,Y,third,3,16,D
6215,Y,first,4,7,C
6216,Y,third,70,14,D
6217,Y,third,24,56,D
6218,Y,first,26,7,B
6219,N,third,28,17,F
6220,Y,third,10,58,A
6221,Y,first,73,41,A
6222,Y,first,66,53,B
6223,N,second,3,9,A
6224,Y,third,2,6,A
6225,Y,third,53,65,F
6226,N,third,7,10,F
6227,N,third,8,4,B
6228,Y,second,51,49,C
6229,N,second,10,15,F
6230,Y,third,68,63,A
6231,N,third,83,45,C
6232,Y,first,62,70,C
6233,N,second,9,44,A
6234,Y,third,51,79,F
6235,Y,first,11,18,F
6236,Y,first,72,16,D
6237,Y,second,39,55,C
6238,N,third,96,36,D
6239,Y,first,61,58,A
6240,N,first,92,86,A
6241,N,first,83,81,A
6242,Y,third,5,15,F
6243,N,third,99,73,C
6244,Y,first,28,16,F
6245,N,second,3,6,A
6246,Y,second,44,45,D
6247,Y,third,3,26,F
6248,Y,third,5,9,A
6249,N,second,18,19,F
6250,N,third,75,91,A
6251,Y,second,52,67,C
6252,N,first,41,36,A
6253,Y,third,77,81,A
6254,N,second,3,24,D
6255,N,third,9,15,C
6256,Y,first,19,74,F
6257,N,third,2,4,D
6258,N,third,15,6,B
6259,Y,first,11,26,C
6260,Y,second,5,1,A
6261,N,second,4,16,D
6262,Y,first,49,44,F
6263,N,second,10,34,F
6264,Y,third,21,65,F
6265,N,second,49,68,F
6266,Y,first,50,66,F
6267,N,third,1,13,A
6268,N,third,2,9,F
6269,Y,third,54,73,C
6270,N,second,99,47,C
6271,Y,third,35,41,A
6272,N,first,58,5,A
6273,Y,third,35,54,B
6274,Y,third,81,30,F
6275,N,third,3,8,A
6276,N,second,89,96,B
6277,Y,first,8,16,D
6278,N,first,35,83,F
6279,N,second,9,6,F
6280,N,third,7,15,B
6281,Y,second,14,52,D
6282,N,first,1,13,D
6283,Y,first,21,46,A
6284,Y,third,85,65,C
6285,Y,third,28,56,F
6286,N,second,52,61,A
6287,N,second,89,37,A
6288,Y,second,87,32,A
6289,N,second,76,67,A
6290,Y,second,93,92,A
6291,Y,third,6,14,A
6292,N,first,9,15,D
6293,N,third,1,16,A
6294,N,second,2,2,D
6295,Y,third,34,90,A
6296,N,third,2,5,A
6297,N,third,39,25,C
6298,N,third,4,2,A
6299,Y,first,91,75,C
6300,Y,first,45,47,C
6301,N,third,61,43,A
6302,N,third,20,27,F
6303,Y,first,41,44,A
6304,Y,first,10,34,D
6305,N,second,86,99,F
6306,Y,second,83,63,B
6307,Y,second,5,13,F
6308,Y,second,10,19,F
6309,N,second,94,64,D
6310,N,third,51,55,A
6311,Y,second,26,64,A
6312,Y,first,19,14,F
6313,N,third,44,52,D
6314,Y,third,2,16,A
6315,Y,first,15,44,D
6316,Y,first,20,20,A
6317,N,second,2,4,F
6318,N,third,9,1,A
6319,Y,second,99,67,A
6320,Y,third,45,79,C
6321,N,first,85,67,C
6322,Y,second,52,38,D
6323,N,first,61,88,B
6324,N,second,98,99,F
6325,N,second,84,64,C
6326,N,first,2,17,F
6327,N,first,7,25,F
6328,N,second,60,46,D
6329,Y,third,1,9,A
6330,Y,first,28,93,F
6331,Y,first,61,55,A
6332,Y,first,71,33,B
6333,Y,first,32,72,F
6334,Y,third,74,51,C
6335,Y,third,28,52,A
6336,Y,second,35,73,F
6337,Y,third,79,6,B
6338,N,first,19,23,D
6339,Y,third,16,72,A
6340,Y,second,4,13,D
6341,Y,first,44,46,D
6342,Y,first,34,45,D
6343,Y,second,37,70,B
6344,Y,third,18,18,F
6345,N,second,35,39,A
6346,Y,third,16,22,D
6347,N,third,16,1,D
6348,N,third,87,33,A
6349,Y,first,53,31,C
6350,Y,second,11,38,C
6351,Y,third,18,29,B
6352,Y,second,80,74,D
6353,Y,third,7,12,A
6354,Y,first,37,71,F
6355,Y,second,64,81,C
6356,Y,first,86,14,B
6357,Y,first,20,67,B
6358,N,third,90,38,B
6359,Y,second,29,60,F
6360,N,third,85,95,D
6361,Y,third,20,72,F
6362,Y,second,39,59,B
6363,N,second,45,13,C
6364,Y,second,8,27,D
6365,N,third,2,13,A
6366,Y,second,43,15,B
6367,N,third,1,7,A
6368,Y,third,17,53,B
6369,Y,third,16,72,C
6370,Y,second,6,11,A
6371,Y,first,63,73,F
6372,N,first,8,1,D
6373,N,third,3,13,A
6374,Y,third,72,44,A
6375,Y,first,16,71,A
6376,N,second,85,72,C
6377,Y,second,62,31,D
6378,N,second,11,16,D
6379,Y,second,57,23,C
6380,Y,second,56,96,F
6381,Y,first,5,55,D
6382,Y,first,59,47,C
6383,Y,third,62,80,C
6384,N,third,94,34,A
6385,N,second,10,16,D
6386,Y,third,31,78,F
6387,N,third,1,2,A
6388,Y,third,28,52,C
6389,Y,first,13,47,C
6390,N,second,13,26,F
6391,Y,first,83,96,F
6392,Y,third,59,65,D
6393,N,second,12,19,F
6394,Y,second,42,54,B
6395,Y,second,65,9,B
6396,N,first,14,24,D
6397,Y,third,2,12,A
6398,Y,first,31,91,C
6399,Y,first,58,33,B
6400,Y,first,32,3,B
6401,N,third,80,99,A
6402,N,second,1,28,F
6403,N,third,86,60,C
6404,Y,third,14,52,A
6405,Y,first,29,78,A
6406,N,third,14,24,F
6407,Y,first,15,55,C
6408,Y,third,9,4,C
6409,N,first,8,18,D
6410,Y,second,52,22,A
6411,N,third,68,67,F
6412,N,third,38,62,B
6413,N,third,60,49,A
6414,Y,third,37,52,B
6415,N,first,8,14,F
6416,N,third,76,88,A
6417,Y,first,12,92,C
6418,Y,first,31,86,C
6419,Y,first,30,12,C
6420,N,second,15,10,F
6421,Y,second,48,51,A
6422,N,third,7,2,A
6423,Y,first,39,47,D
6424,Y,third,74,40,D
6425,N,third,86,46,A
6426,N,third,32,37,D
6427,Y,second,73,58,A
6428,Y,first,43,5,C
6429,N,third,74,50,D
6430,N,third,6,10,A
6431,Y,second,51,29,D
6432,N,second,6,24,F
6433,Y,third,2,15,B
6434,N,third,64,60,A
6435,Y,first,66,49,A
6436,Y,third,97,25,D
6437,Y,third,50,81,A
6438,N,second,7,11,F
6439,N,second,73,43,A
6440,N,third,9,15,F
6441,N,first,3,25,D
6442,N,second,89,92,A
6443,Y,third,19,53,D
6444,Y,first,13,3,F
6445,N,second,25,88,F
6446,N,third,3,12,A
6447,Y,third,6,68,A
6448,Y,third,63,2,A
6449,N,second,80,89,A
6450,Y,second,28,71,A
6451,N,second,3,2,A
6452,N,second,4,7,F
6453,N,third,13,29,D
6454,N,first,18,21,F
6455,N,third,7,10,B
6456,N,first,12,15,D
6457,Y,first,1,81,B
6458,N,third,1,7,A
6459,Y,third,69,61,C
6460,N,first,69,82,A
6461,N,first,11,11,F
6462,N,third,19,8,F
6463,N,first,4,1,D
6464,N,third,9,24,F
6465,Y,first,67,14,B
6466,Y,second,89,22,B
6467,Y,third,15,22,C
6468,Y,first,56,41,C
6469,N,second,14,17,D
6470,Y,third,43,24,F
6471,N,second,70,75,A
6472,Y,second,71,69,F
6473,Y,third,88,81,A
6474,Y,first,18,4,D
6475,Y,third,27,53,A
6476,Y,third,57,79,A
6477,Y,first,95,87,F
6478,N,first,5,9,D
6479,Y,third,63,44,F
6480,N,second,95,86,A
6481,Y,third,51,30,B
6482,Y,second,62,71,A
6483,Y,first,40,49,C
6484,Y,first,98,56,D
6485,N,second,2,30,F
6486,Y,first,18,49,B
6487,Y,second,17,53,A
6488,Y,second,97,54,C
6489,Y,second,87,89,A
6490,N,second,57,81,F
6491,N,third,77,71,D
6492,N,third,70,81,C
6493,N,first,15,14,D
6494,Y,third,60,68,A
6495,Y,third,25,51,F
6496,Y,third,5,8,B
6497,Y,second,11,16,A
6498,Y,third,30,7,C
6499,Y,third,27,69,F
6500,Y,third,70,30,D
6501,Y,third,36,48,D
6502,N,second,12,3,D
6503,Y,third,79,75,B
6504,Y,third,53,53,D
6505,Y,third,48,76,D
6506,N,third,7,6,A
6507,Y,third,16,2,D
6508,Y,third,63,76,A
6509,N,third,4,4,A
6510,Y,third,14,17,F
6511,Y,third,63,10,D
6512,N,third,54,53,D
6513,Y,first,79,30,D
6514,N,third,7,11,A
6515,Y,third,56,34,C
6516,Y,first,11,68,B
6517,N,third,7,11,B
6518,Y,second,33,36,C
6519,N,third,8,1,F
6520,N,first,97,72,B
6521,Y,third,47,91,B
6522,Y,third,6,34,F
6523,Y,third,7,17,D
6524,Y,third,40,72,A
6525,Y,third,17,74,B
6526,Y,second,56,50,B
6527,Y,third,9,95,F
6528,N,third,62,56,D
6529,Y,first,8,15,F
6530,N,second,13,5,F
6531,Y,third,23,13,D
6532,Y,first,89,99,A
6533,N,third,69,36,D
6534,Y,third,21,3,C
6535,N,third,4,8,A
6536,Y,third,65,61,A
6537,Y,first,50,1,A
6538,Y,third,58,66,B
6539,Y,second,11,41,C
6540,Y,third,52,72,A
6541,N,third,5,1,F
6542,Y,third,76,25,A
6543,Y,second,3,13,A
6544,N,third,84,89,A
6545,N,third,4,16,A
6546,N,second,95,24,B
6547,Y,first,57,37,C
6548,N,first,78,26,D
6549,Y,second,66,53,C
6550,N,second,2,39,F
6551,N,third,19,29,F
6552,N,second,3,14,A
6553,N,third,92,58,C
6554,Y,second,96,81,C
6555,Y,third,48,54,A
6556,N,second,82,40,A
6557,N,second,28,22,C
6558,N,third,4,18,F
6559,Y,first,77,74,B
6560,N,third,96,50,C
6561,N,third,3,13,A
6562,Y,second,5,13,B
6563,Y,second,81,46,F
6564,Y,third,5,11,A
6565,Y,third,30,36,B
6566,N,second,24,12,F
6567,Y,first,31,47,F
6568,Y,second,51,46,D
6569,Y,first,8,7,D
6570,Y,second,36,53,A
6571,N,third,9,26,D
6572,Y,third,50,42,C
6573,N,second,60,45,D
6574,Y,third,7,1,A
6575,Y,first,7,11,D
6576,N,third,8,1,A
6577,N,second,5,23,F
6578,Y,first,14,20,A
6579,Y,third,54,54,D
6580,N,third,4,37,F
6581,N,third,6,1,A
6582,N,second,12,6,D
6583,N,second,85,67,B
6584,Y,second,50,54,C
6585,Y,first,15,69,F
6586,Y,first,39,68,B
6587,N,third,82,77,A
6588,Y,second,7,14,B
6589,Y,second,1,10,A
6590,Y,third,73,63,B
6591,Y,first,0,57,A
6592,N,third,71,90,C
6593,N,second,8,10,B
6594,Y,third,85,54,B
6595,N,third,96,57,D
6596,N,first,5,29,D
6597,Y,second,11,11,F
6598,Y,third,33,53,F
6599,Y,third,76,29,B
6600,N,second,1,2,A
6601,Y,third,98,46,C
6602,N,second,2,10,F
6603,N,third,60,82,A
6604,Y,third,70,30,C
6605,Y,third,68,75,F
6606,Y,second,96,59,D
6607,Y,third,1,9,F
6608,Y,second,43,12,C
6609,Y,first,21,58,D
6610,Y,first,18,6,F
6611,N,third,18,15,F
6612,Y,third,33,69,D
6613,Y,third,30,53,D
6614,Y,second,67,73,A
6615,Y,third,62,98,B
6616,Y,second,54,16,C
6617,N,first,68,78,D
6618,Y,second,67,34,A
6619,N,third,24,13,B
6620,N,third,72,11,B
6621,Y,third,52,41,B
6622,Y,third,33,78,A
6623,N,third,1,10,A
6624,N,third,4,16,F
6625,Y,third,7,11,A
6626,N,third,72,73,D
6627,N,first,6,99,A
6628,N,third,6,27,F
6629,Y,second,21,44,D
6630,Y,third,88,47,A
6631,N,second,4,2,F
6632,N,third,6,9,A
6633,Y,third,10,51,A
6634,Y,third,76,75,B
6635,Y,second,70,74,B
6636,N,third,6,15,A
6637,Y,third,67,64,A
6638,Y,third,19,23,B
6639,N,third,41,3,C
6640,Y,third,44,54,A
6641,N,third,65,96,C
6642,N,first,97,95,C
6643,N,third,26,68,B
6644,N,third,2,9,F
6645,Y,first,95,77,D
6646,Y,first,12,16,F
6647,Y,third,95,71,A
6648,Y,third,71,68,A
6649,N,second,12,28,D
6650,N,second,18,38,B
6651,N,first,81,24,B
6652,Y,first,63,80,D
6653,Y,second,19,6,D
6654,N,second,3,68,F
6655,N,third,2,46,F
6656,Y,second,14,17,F
6657,Y,first,49,76,A
6658,Y,second,83,62,A
6659,N,third,13,8,D
6660,Y,first,67,30,C
6661,Y,first,57,76,C
6662,N,second,69,76,C
6663,Y,first,9,11,D
6664,N,third,80,99,C
6665,Y,first,37,53,A
6666,N,third,7,2,A
6667,N,second,6,6,A
6668,Y,second,63,53,A
6669,Y,third,72,54,F
6670,Y,first,36,69,B
6671,Y,second,82,3,D
6672,N,second,5,21,F
6673,N,second,89,76,D
6674,Y,third,7,1,A
6675,Y,first,17,66,A
6676,N,third,11,6,F
6677,N,first,17,20,D
6678,N,third,21,50,A
6679,Y,first,25,55,C
6680,Y,third,22,30,B
6681,N,second,60,70,D
6682,N,third,9,4,B
6683,Y,third,50,23,A
6684,Y,first,49,65,A
6685,Y,first,14,2,F
6686,Y,third,1,12,F
6687,Y,third,77,51,D
6688,N,first,9,6,F
6689,N,second,75,58,D
6690,N,second,9,2,B
6691,N,third,13,17,D
6692,N,third,74,52,C
6693,N,third,24,39,B
6694,Y,third,66,50,B
6695,Y,first,52,63,A
6696,Y,second,96,30,C
6697,Y,second,58,38,A
6698,N,second,4,15,A
6699,Y,first,28,6,C
6700,N,third,44,99,F
6701,N,third,73,51,B
6702,N,second,59,55,A
6703,Y,first,11,9,F
6704,Y,first,54,33,A
6705,Y,first,58,56,B
6706,Y,second,55,23,C
6707,N,first,1,8,D
6708,N,third,56,68,A
6709,N,second,77,83,F
6710,Y,second,63,57,B
6711,Y,third,97,50,A
6712,Y,second,73,60,A
6713,N,first,14,6,D
6714,N,third,84,94,C
6715,Y,third,60,81,A
6716,Y,third,61,65,A
6717,Y,first,56,91,B
6718,N,third,8,10,D
6719,Y,first,51,46,A
6720,N,first,18,7,D
6721,N,first,61,59,D
6722,Y,second,10,5,B
6723,Y,third,1,16,B
6724,N,first,98,67,A
6725,Y,third,5,9,A
6726,Y,first,51,27,A
6727,Y,third,9,9,A
6728,Y,first,10,2,F
6729,N,third,67,42,B
6730,Y,third,41,43,D
6731,Y,third,45,1,C
6732,Y,third,4,13,B
6733,Y,second,61,36,A
6734,N,third,24,93,B
6735,Y,second,3,8,F
6736,Y,third,20,47,A
6737,Y,second,92,10,A
6738,Y,second,63,62,F
6739,Y,first,56,47,B
6740,Y,third,88,71,A
6741,N,first,96,90,B
6742,Y,third,43,54,A
6743,Y,second,98,54,A
6744,Y,second,10,3,F
6745,Y,second,9,12,A
6746,Y,first,43,55,D
6747,Y,third,60,47,F
6748,Y,third,17,57,F
6749,Y,second,27,51,D
6750,Y,first,12,56,F
6751,N,third,89,41,C
6752,N,second,6,1,A
6753,N,second,4,32,F
6754,Y,first,37,47,B
6755,N,third,12,10,F
6756,N,second,7,4,B
6757,Y,third,77,61,F
6758,Y,third,77,49,F
6759,N,second,96,42,D
6760,N,second,86,79,C
6761,N,third,7,15,B
6762,Y,third,14,15,F
6763,N,third,6,5,A
6764,Y,first,2,88,A
6765,N,third,53,82,F
6766,N,first,23,68,F
6767,Y,third,54,43,C
6768,N,second,5,25,F
6769,N,first,91,76,C
6770,Y,third,12,64,B
6771,N,third,3,16,A
6772,N,first,18,6,F
6773,Y,first,51,86,A
6774,N,second,40,55,B
6775,Y,second,24,43,D
6776,Y,third,76,76,D
6777,Y,third,76,72,D
6778,Y,second,12,26,F
6779,Y,first,11,6,D
6780,N,second,9,9,F
6781,Y,third,95,61,D
6782,Y,third,20,10,D
6783,Y,second,5,16,A
6784,N,third,90,60,A
6785,Y,third,12,31,C
6786,Y,third,61,47,F
6787,Y,third,74,70,A
6788,Y,second,6,22,D
6789,Y,second,6,8,A
6790,Y,third,24,33,D
6791,Y,third,76,65,C
6792,Y,third,82,68,B
6793,Y,second,38,41,C
6794,N,third,32,85,B
6795,Y,second,10,43,B
6796,Y,first,21,56,D
6797,Y,first,22,18,B
6798,N,third,76,45,B
6799,Y,third,49,74,A
6800,N,third,6,8,F
6801,Y,third,54,31,F
6802,N,first,17,17,D
6803,N,second,15,7,F
6804,Y,third,45,78,A
6805,N,first,24,92,C
6806,Y,third,19,78,A
6807,Y,third,55,72,F
6808,Y,third,27,64,A
6809,Y,first,26,27,D
6810,N,first,19,10,F
6811,N,second,1,25,D
6812,Y,third,77,73,C
6813,N,second,66,73,F
6814,N,first,39,43,A
6815,N,second,6,1,A
6816,N,first,2,8,D
6817,Y,first,59,42,C
6818,N,third,65,90,A
6819,Y,first,73,65,F
6820,Y,second,57,41,D
6821,Y,second,79,62,F
6822,Y,third,12,55,A
6823,N,first,62,61,A
6824,Y,third,24,56,F
6825,Y,third,18,54,C
6826,Y,third,53,64,C
6827,Y,third,86,54,B
6828,Y,third,32,35,D
6829,Y,third,97,8,D
6830,Y,third,55,58,A
6831,Y,second,58,58,A
6832,N,second,3,13,A
6833,N,second,5,13,F
6834,Y,first,18,44,A
6835,N,third,1,5,B
6836,Y,third,13,20,F
6837,Y,first,25,46,D
6838,Y,second,97,92,A
6839,N,second,5,14,A
6840,N,second,46,63,C
6841,Y,first,67,47,B
6842,N,first,84,61,C
6843,N,first,42,42,C
6844,N,first,11,21,D
6845,N,second,7,23,D
6846,Y,first,2,15,F
6847,Y,third,96,84,C
6848,Y,third,68,64,D
6849,N,first,91,72,A
6850,Y,first,18,48,B
6851,N,first,11,1,D
6852,Y,third,45,72,A
6853,N,third,4,7,B
6854,Y,third,9,2,A
6855,N,second,15,8,D
6856,Y,first,13,6,F
6857,Y,third,66,50,B
6858,Y,third,4,37,A
6859,Y,second,92,64,B
6860,Y,first,19,55,D
6861,Y,first,90,94,B
6862,Y,third,6,8,F
6863,N,first,10,24,F
6864,N,second,68,82,A
6865,N,second,41,60,C
6866,Y,second,88,41,D
6867,Y,third,29,31,D
6868,Y,first,16,11,F
6869,Y,third,26,39,C
6870,N,third,9,14,B
6871,N,third,7,14,A
6872,N,third,27,56,A
6873,Y,first,70,98,C
6874,N,first,1,33,B
6875,Y,first,63,62,D
6876,N,second,8,5,B
6877,Y,second,25,52,B
6878,Y,first,77,32,A
6879,Y,first,11,27,F
6880,N,second,61,53,A
6881,Y,second,9,68,B
6882,Y,second,25,49,B
6883,Y,third,22,28,B
6884,Y,first,5,8,B
6885,Y,first,42,71,A
6886,N,second,74,45,C
6887,N,third,25,50,D
6888,Y,second,41,37,F
6889,Y,first,16,14,F
6890,Y,second,12,13,F
6891,N,second,4,13,A
6892,Y,third,3,13,F
6893,Y,first,29,67,F
6894,N,third,25,60,C
6895,N,second,19,1,D
6896,N,second,17,27,F
6897,N,third,11,8,F
6898,Y,first,52,87,D
6899,Y,third,37,97,A
6900,N,second,71,41,F
6901,N,first,24,58,D
6902,N,third,29,10,A
6903,Y,second,71,44,A
6904,Y,first,95,68,A
6905,Y,second,56,52,C
6906,Y,second,87,69,A
6907,Y,first,19,5,F
6908,N,third,90,82,A
6909,Y,second,19,50,A
6910,Y,first,30,38,F
6911,Y,third,2,18,F
6912,N,first,6,5,F
6913,Y,first,70,33,A
6914,Y,second,72,47,F
6915,N,third,97,37,C
6916,Y,first,10,5,D
6917,Y,second,23,88,B
6918,Y,first,58,41,B
6919,Y,third,62,76,F
6920,Y,third,13,32,D
6921,Y,first,5,17,D
