,External,Year,session 1,session 2,test 1,dropout
6126,N,third,1,33,F,Y
6127,Y,third,80,15,C,Y
6128,N,third,7,10,F,N
6129,N,second,13,26,B,Y
6130,Y,third,38,88,C,Y
6131,Y,third,75,76,D,N
6132,Y,second,53,52,C,Y
6133,Y,third,1,27,D,N
6134,Y,third,6,2,A,N
6135,Y,third,52,38,D,Y
6136,N,third,78,4,A,Y
6137,N,second,75,41,D,N
6138,Y,third,9,2,A,Y
6139,Y,second,49,53,B,N
6140,N,second,92,93,F,N
6141,Y,second,16,58,A,Y
6142,Y,second,30,31,D,Y
6143,N,third,8,12,F,N
6144,Y,first,26,25,B,Y
6145,Y,third,53,69,F,Y
6146,Y,first,64,98,C,Y
6147,N,third,4,4,A,N
6148,N,third,17,19,F,Y
6149,Y,third,7,7,A,N
6150,N,third,75,88,B,N
6151,N,second,46,25,A,N
6152,Y,second,1,14,A,N
6153,Y,third,59,59,B,N
6154,N,second,31,4,D,N
6155,Y,third,30,20,A,Y
6156,N,second,14,21,F,N
6157,Y,third,79,67,A,N
6158,Y,first,13,17,D,N
6159,N,first,64,49,D,N
6160,Y,third,73,52,A,Y
6161,N,second,96,52,A,N
6162,N,second,93,91,B,N
6163,Y,first,67,93,F,N
6164,Y,third,8,14,F,N
6165,Y,third,39,39,D,Y
6166,Y,second,12,52,A,N
6167,Y,second,27,21,D,Y
6168,Y,third,66,79,B,N
6169,N,third,23,22,F,Y
6170,Y,second,62,57,A,N
6171,Y,first,50,63,B,N
6172,Y,third,79,70,C,N
6173,Y,second,71,51,F,N
6174,N,third,82,48,A,N
6175,Y,third,26,66,F,N
6176,Y,third,6,10,F,N
6177,N,third,4,6,F,N
6178,Y,third,60,48,C,N
6179,Y,third,23,81,A,Y
6180,N,second,5,1,A,N
6181,Y,first,41,46,B,N
6182,Y,second,22,69,A,Y
6183,N,third,3,9,F,N
6184,Y,third,68,74,F,N
6185,N,second,66,45,B,Y
6186,Y,first,7,56,A,Y
6187,Y,third,47,55,A,N
6188,Y,first,56,37,C,Y
6189,Y,third,1,1,B,N
6190,Y,first,44,40,D,Y
6191,Y,third,55,85,A,N
6192,N,third,68,52,B,N
6193,N,second,80,79,A,N
6194,Y,second,80,68,C,N
6195,N,second,64,44,A,N
6196,Y,second,8,17,A,Y
6197,N,second,95,81,D,Y
6198,Y,third,55,82,B,Y
6199,Y,first,22,5,C,Y
6200,Y,third,59,37,D,Y
6201,N,third,10,6,D,N
6202,Y,third,66,72,C,N
6203,Y,second,84,64,A,N
6204,Y,first,43,55,A,N
6205,Y,first,67,27,F,Y
6206,Y,second,36,59,B,N
6207,Y,first,64,54,B,N
6208,N,first,19,26,D,N
6209,N,third,82,50,D,N
6210,N,third,53,65,B,N
6211,Y,first,34,15,A,Y
6212,Y,first,49,37,D,Y
6213,N,second,17,85,A,N
6214,Y,third,3,16,D,Y
6215,Y,first,4,7,C,Y
6216,Y,third,70,14,D,Y
6217,Y,third,24,56,D,Y
6218,Y,first,26,7,B,N
6219,N,third,28,17,F,Y
6220,Y,third,10,58,A,N
6221,Y,first,73,41,A,N
6222,Y,first,66,53,B,Y
6223,N,second,3,9,A,N
6224,Y,third,2,6,A,N
6225,Y,third,53,65,F,N
6226,N,third,7,10,F,N
6227,N,third,8,4,B,N
6228,Y,second,51,49,C,Y
6229,N,second,10,15,F,N
6230,Y,third,68,63,A,N
6231,N,third,83,45,C,N
6232,Y,first,62,70,C,N
6233,N,second,9,44,A,N
6234,Y,third,51,79,F,N
6235,Y,first,11,18,F,N
6236,Y,first,72,16,D,Y
6237,Y,second,39,55,C,Y
6238,N,third,96,36,D,N
6239,Y,first,61,58,A,N
6240,N,first,92,86,A,N
6241,N,first,83,81,A,Y
6242,Y,third,5,15,F,N
6243,N,third,99,73,C,Y
6244,Y,first,28,16,F,Y
6245,N,second,3,6,A,N
6246,Y,second,44,45,D,Y
6247,Y,third,3,26,F,N
6248,Y,third,5,9,A,N
6249,N,second,18,19,F,N
6250,N,third,75,91,A,Y
6251,Y,second,52,67,C,N
6252,N,first,41,36,A,N
6253,Y,third,77,81,A,N
6254,N,second,3,24,D,N
6255,N,third,9,15,C,N
6256,Y,first,19,74,F,Y
6257,N,third,2,4,D,N
6258,N,third,15,6,B,Y
6259,Y,first,11,26,C,Y
6260,Y,second,5,1,A,Y
6261,N,second,4,16,D,N
6262,Y,first,49,44,F,Y
6263,N,second,10,34,F,N
6264,Y,third,21,65,F,N
6265,N,second,49,68,F,N
6266,Y,first,50,66,F,N
6267,N,third,1,13,A,N
6268,N,third,2,9,F,N
6269,Y,third,54,73,C,N
6270,N,second,99,47,C,N
6271,Y,third,35,41,A,Y
6272,N,first,58,5,A,N
6273,Y,third,35,54,B,N
6274,Y,third,81,30,F,N
6275,N,third,3,8,A,N
6276,N,second,89,96,B,N
6277,Y,first,8,16,D,N
6278,N,first,35,83,F,N
6279,N,second,9,6,F,N
6280,N,third,7,15,B,N
6281,Y,second,14,52,D,Y
6282,N,first,1,13,D,N
6283,Y,first,21,46,A,Y
6284,Y,third,85,65,C,N
6285,Y,third,28,56,F,N
6286,N,second,52,61,A,Y
6287,N,second,89,37,A,N
6288,Y,second,87,32,A,Y
6289,N,second,76,67,A,N
6290,Y,second,93,92,A,N
6291,Y,third,6,14,A,N
6292,N,first,9,15,D,N
6293,N,third,1,16,A,N
6294,N,second,2,2,D,N
6295,Y,third,34,90,A,Y
6296,N,third,2,5,A,N
6297,N,third,39,25,C,N
6298,N,third,4,2,A,N
6299,Y,first,91,75,C,N
6300,Y,first,45,47,C,Y
6301,N,third,61,43,A,N
6302,N,third,20,27,F,N
6303,Y,first,41,44,A,Y
6304,Y,first,10,34,D,Y
6305,N,second,86,99,F,N
6306,Y,second,83,63,B,Y
6307,Y,second,5,13,F,N
6308,Y,second,10,19,F,Y
6309,N,second,94,64,D,N
6310,N,third,51,55,A,Y
6311,Y,second,26,64,A,N
6312,Y,first,19,14,F,N
6313,N,third,44,52,D,Y
6314,Y,third,2,16,A,N
6315,Y,first,15,44,D,Y
6316,Y,first,20,20,A,Y
6317,N,second,2,4,F,N
6318,N,third,9,1,A,N
6319,Y,second,99,67,A,N
6320,Y,third,45,79,C,N
6321,N,first,85,67,C,Y
6322,Y,second,52,38,D,Y
6323,N,first,61,88,B,N
6324,N,second,98,99,F,N
6325,N,second,84,64,C,N
6326,N,first,2,17,F,N
6327,N,first,7,25,F,N
6328,N,second,60,46,D,N
6329,Y,third,1,9,A,N
6330,Y,first,28,93,F,N
6331,Y,first,61,55,A,Y
6332,Y,first,71,33,B,Y
6333,Y,first,32,72,F,N
6334,Y,third,74,51,C,N
6335,Y,third,28,52,A,Y
6336,Y,second,35,73,F,N
6337,Y,third,79,6,B,N
6338,N,first,19,23,D,N
6339,Y,third,16,72,A,N
6340,Y,second,4,13,D,Y
6341,Y,first,44,46,D,Y
6342,Y,first,34,45,D,Y
6343,Y,second,37,70,B,N
6344,Y,third,18,18,F,N
6345,N,second,35,39,A,Y
6346,Y,third,16,22,D,N
6347,N,third,16,1,D,N
6348,N,third,87,33,A,N
6349,Y,first,53,31,C,Y
6350,Y,second,11,38,C,Y
6351,Y,third,18,29,B,Y
6352,Y,second,80,74,D,N
6353,Y,third,7,12,A,N
6354,Y,first,37,71,F,N
6355,Y,second,64,81,C,N
6356,Y,first,86,14,B,Y
6357,Y,first,20,67,B,N
6358,N,third,90,38,B,N
6359,Y,second,29,60,F,N
6360,N,third,85,95,D,N
6361,Y,third,20,72,F,N
6362,Y,second,39,59,B,Y
6363,N,second,45,13,C,N
6364,Y,second,8,27,D,N
6365,N,third,2,13,A,N
6366,Y,second,43,15,B,N
6367,N,third,1,7,A,N
6368,Y,third,17,53,B,N
6369,Y,third,16,72,C,N
6370,Y,second,6,11,A,N
6371,Y,first,63,73,F,N
6372,N,first,8,1,D,N
6373,N,third,3,13,A,N
6374,Y,third,72,44,A,N
6375,Y,first,16,71,A,N
6376,N,second,85,72,C,N
6377,Y,second,62,31,D,N
6378,N,second,11,16,D,N
6379,Y,second,57,23,C,Y
6380,Y,second,56,96,F,N
6381,Y,first,5,55,D,Y
6382,Y,first,59,47,C,Y
6383,Y,third,62,80,C,Y
6384,N,third,94,34,A,N
6385,N,second,10,16,D,N
6386,Y,third,31,78,F,N
6387,N,third,1,2,A,N
6388,Y,third,28,52,C,N
6389,Y,first,13,47,C,Y
6390,N,second,13,26,F,N
6391,Y,first,83,96,F,Y
6392,Y,third,59,65,D,Y
6393,N,second,12,19,F,N
6394,Y,second,42,54,B,N
6395,Y,second,65,9,B,N
6396,N,first,14,24,D,N
6397,Y,third,2,12,A,N
6398,Y,first,31,91,C,N
6399,Y,first,58,33,B,Y
6400,Y,first,32,3,B,Y
6401,N,third,80,99,A,Y
6402,N,second,1,28,F,Y
6403,N,third,86,60,C,Y
6404,Y,third,14,52,A,Y
6405,Y,first,29,78,A,N
6406,N,third,14,24,F,Y
6407,Y,first,15,55,C,Y
6408,Y,third,9,4,C,Y
6409,N,first,8,18,D,N
6410,Y,second,52,22,A,Y
6411,N,third,68,67,F,Y
6412,N,third,38,62,B,Y
6413,N,third,60,49,A,Y
6414,Y,third,37,52,B,N
6415,N,first,8,14,F,N
6416,N,third,76,88,A,Y
6417,Y,first,12,92,C,N
6418,Y,first,31,86,C,N
6419,Y,first,30,12,C,Y
6420,N,second,15,10,F,N
6421,Y,second,48,51,A,N
6422,N,third,7,2,A,N
6423,Y,first,39,47,D,Y
6424,Y,third,74,40,D,N
6425,N,third,86,46,A,N
6426,N,third,32,37,D,Y
6427,Y,second,73,58,A,N
6428,Y,first,43,5,C,Y
6429,N,third,74,50,D,N
6430,N,third,6,10,A,N
6431,Y,second,51,29,D,Y
6432,N,second,6,24,F,N
6433,Y,third,2,15,B,N
6434,N,third,64,60,A,N
6435,Y,first,66,49,A,Y
6436,Y,third,97,25,D,Y
6437,Y,third,50,81,A,N
6438,N,second,7,11,F,N
6439,N,second,73,43,A,N
6440,N,third,9,15,F,N
6441,N,first,3,25,D,N
6442,N,second,89,92,A,N
6443,Y,third,19,53,D,N
6444,Y,first,13,3,F,Y
6445,N,second,25,88,F,N
6446,N,third,3,12,A,N
6447,Y,third,6,68,A,Y
6448,Y,third,63,2,A,N
6449,N,second,80,89,A,N
6450,Y,second,28,71,A,N
6451,N,second,3,2,A,N
6452,N,second,4,7,F,N
6453,N,third,13,29,D,N
6454,N,first,18,21,F,N
6455,N,third,7,10,B,N
6456,N,first,12,15,D,N
6457,Y,first,1,81,B,N
6458,N,third,1,7,A,N
6459,Y,third,69,61,C,N
6460,N,first,69,82,A,N
6461,N,first,11,11,F,N
6462,N,third,19,8,F,Y
6463,N,first,4,1,D,N
6464,N,third,9,24,F,Y
6465,Y,first,67,14,B,Y
6466,Y,second,89,22,B,Y
6467,Y,third,15,22,C,Y
6468,Y,first,56,41,C,Y
6469,N,second,14,17,D,N
6470,Y,third,43,24,F,N
6471,N,second,70,75,A,N
6472,Y,second,71,69,F,Y
6473,Y,third,88,81,A,Y
6474,Y,first,18,4,D,Y
6475,Y,third,27,53,A,N
6476,Y,third,57,79,A,N
6477,Y,first,95,87,F,Y
6478,N,first,5,9,D,N
6479,Y,third,63,44,F,N
6480,N,second,95,86,A,N
6481,Y,third,51,30,B,Y
6482,Y,second,62,71,A,N
6483,Y,first,40,49,C,Y
6484,Y,first,98,56,D,N
6485,N,second,2,30,F,Y
6486,Y,first,18,49,B,Y
6487,Y,second,17,53,A,N
6488,Y,second,97,54,C,N
6489,Y,second,87,89,A,N
6490,N,second,57,81,F,N
6491,N,third,77,71,D,Y
6492,N,third,70,81,C,Y
6493,N,first,15,14,D,N
6494,Y,third,60,68,A,N
6495,Y,third,25,51,F,N
6496,Y,third,5,8,B,N
6497,Y,second,11,16,A,Y
6498,Y,third,30,7,C,N
6499,Y,third,27,69,F,N
6500,Y,third,70,30,D,N
6501,Y,third,36,48,D,N
6502,N,second,12,3,D,N
6503,Y,third,79,75,B,N
6504,Y,third,53,53,D,N
6505,Y,third,48,76,D,N
6506,N,third,7,6,A,N
6507,Y,third,16,2,D,N
6508,Y,third,63,76,A,Y
6509,N,third,4,4,A,N
6510,Y,third,14,17,F,Y
6511,Y,third,63,10,D,Y
6512,N,third,54,53,D,Y
6513,Y,first,79,30,D,Y
6514,N,third,7,11,A,N
6515,Y,third,56,34,C,Y
6516,Y,first,11,68,B,Y
6517,N,third,7,11,B,N
6518,Y,second,33,36,C,Y
6519,N,third,8,1,F,N
6520,N,first,97,72,B,N
6521,Y,third,47,91,B,Y
6522,Y,third,6,34,F,Y
6523,Y,third,7,17,D,N
6524,Y,third,40,72,A,N
6525,Y,third,17,74,B,N
6526,Y,second,56,50,B,Y
6527,Y,third,9,95,F,N
6528,N,third,62,56,D,Y
6529,Y,first,8,15,F,Y
6530,N,second,13,5,F,N
6531,Y,third,23,13,D,Y
6532,Y,first,89,99,A,Y
6533,N,third,69,36,D,N
6534,Y,third,21,3,C,Y
6535,N,third,4,8,A,N
6536,Y,third,65,61,A,N
6537,Y,first,50,1,A,Y
6538,Y,third,58,66,B,N
6539,Y,second,11,41,C,N
6540,Y,third,52,72,A,N
6541,N,third,5,1,F,N
6542,Y,third,76,25,A,N
6543,Y,second,3,13,A,N
6544,N,third,84,89,A,Y
6545,N,third,4,16,A,N
6546,N,second,95,24,B,N
6547,Y,first,57,37,C,Y
6548,N,first,78,26,D,N
6549,Y,second,66,53,C,N
6550,N,second,2,39,F,N
6551,N,third,19,29,F,N
6552,N,second,3,14,A,N
6553,N,third,92,58,C,Y
6554,Y,second,96,81,C,Y
6555,Y,third,48,54,A,N
6556,N,second,82,40,A,N
6557,N,second,28,22,C,N
6558,N,third,4,18,F,Y
6559,Y,first,77,74,B,N
6560,N,third,96,50,C,N
6561,N,third,3,13,A,N
6562,Y,second,5,13,B,Y
6563,Y,second,81,46,F,N
6564,Y,third,5,11,A,N
6565,Y,third,30,36,B,Y
6566,N,second,24,12,F,Y
6567,Y,first,31,47,F,Y
6568,Y,second,51,46,D,Y
6569,Y,first,8,7,D,N
6570,Y,second,36,53,A,Y
6571,N,third,9,26,D,N
6572,Y,third,50,42,C,Y
6573,N,second,60,45,D,Y
6574,Y,third,7,1,A,N
6575,Y,first,7,11,D,Y
6576,N,third,8,1,A,N
6577,N,second,5,23,F,N
6578,Y,first,14,20,A,N
6579,Y,third,54,54,D,Y
6580,N,third,4,37,F,Y
6581,N,third,6,1,A,N
6582,N,second,12,6,D,N
6583,N,second,85,67,B,N
6584,Y,second,50,54,C,Y
6585,Y,first,15,69,F,N
6586,Y,first,39,68,B,Y
6587,N,third,82,77,A,N
6588,Y,second,7,14,B,N
6589,Y,second,1,10,A,N
6590,Y,third,73,63,B,N
6591,Y,first,0,57,A,Y
6592,N,third,71,90,C,Y
6593,N,second,8,10,B,N
6594,Y,third,85,54,B,Y
6595,N,third,96,57,D,Y
6596,N,first,5,29,D,N
6597,Y,second,11,11,F,N
6598,Y,third,33,53,F,Y
6599,Y,third,76,29,B,N
6600,N,second,1,2,A,N
6601,Y,third,98,46,C,Y
6602,N,second,2,10,F,N
6603,N,third,60,82,A,N
6604,Y,third,70,30,C,N
6605,Y,third,68,75,F,N
6606,Y,second,96,59,D,N
6607,Y,third,1,9,F,N
6608,Y,second,43,12,C,Y
6609,Y,first,21,58,D,Y
6610,Y,first,18,6,F,Y
6611,N,third,18,15,F,N
6612,Y,third,33,69,D,N
6613,Y,third,30,53,D,Y
6614,Y,second,67,73,A,N
6615,Y,third,62,98,B,N
6616,Y,second,54,16,C,Y
6617,N,first,68,78,D,N
6618,Y,second,67,34,A,N
6619,N,third,24,13,B,Y
6620,N,third,72,11,B,N
6621,Y,third,52,41,B,N
6622,Y,third,33,78,A,N
6623,N,third,1,10,A,N
6624,N,third,4,16,F,N
6625,Y,third,7,11,A,N
6626,N,third,72,73,D,N
6627,N,first,6,99,A,N
6628,N,third,6,27,F,N
6629,Y,second,21,44,D,Y
6630,Y,third,88,47,A,N
6631,N,second,4,2,F,N
6632,N,third,6,9,A,N
6633,Y,third,10,51,A,N
6634,Y,third,76,75,B,N
6635,Y,second,70,74,B,N
6636,N,third,6,15,A,N
6637,Y,third,67,64,A,N
6638,Y,third,19,23,B,Y
6639,N,third,41,3,C,Y
6640,Y,third,44,54,A,N
6641,N,third,65,96,C,N
6642,N,first,97,95,C,N
6643,N,third,26,68,B,Y
6644,N,third,2,9,F,N
6645,Y,first,95,77,D,N
6646,Y,first,12,16,F,Y
6647,Y,third,95,71,A,N
6648,Y,third,71,68,A,N
6649,N,second,12,28,D,N
6650,N,second,18,38,B,Y
6651,N,first,81,24,B,N
6652,Y,first,63,80,D,N
6653,Y,second,19,6,D,Y
6654,N,second,3,68,F,N
6655,N,third,2,46,F,N
6656,Y,second,14,17,F,Y
6657,Y,first,49,76,A,Y
6658,Y,second,83,62,A,Y
6659,N,third,13,8,D,N
6660,Y,first,67,30,C,N
6661,Y,first,57,76,C,N
6662,N,second,69,76,C,N
6663,Y,first,9,11,D,N
6664,N,third,80,99,C,N
6665,Y,first,37,53,A,Y
6666,N,third,7,2,A,N
6667,N,second,6,6,A,N
6668,Y,second,63,53,A,N
6669,Y,third,72,54,F,N
6670,Y,first,36,69,B,N
6671,Y,second,82,3,D,Y
6672,N,second,5,21,F,N
6673,N,second,89,76,D,Y
6674,Y,third,7,1,A,N
6675,Y,first,17,66,A,N
6676,N,third,11,6,F,N
6677,N,first,17,20,D,N
6678,N,third,21,50,A,Y
6679,Y,first,25,55,C,Y
6680,Y,third,22,30,B,Y
6681,N,second,60,70,D,N
6682,N,third,9,4,B,Y
6683,Y,third,50,23,A,Y
6684,Y,first,49,65,A,Y
6685,Y,first,14,2,F,Y
6686,Y,third,1,12,F,N
6687,Y,third,77,51,D,N
6688,N,first,9,6,F,N
6689,N,second,75,58,D,N
6690,N,second,9,2,B,Y
6691,N,third,13,17,D,N
6692,N,third,74,52,C,Y
6693,N,third,24,39,B,N
6694,Y,third,66,50,B,N
6695,Y,first,52,63,A,Y
6696,Y,second,96,30,C,Y
6697,Y,second,58,38,A,Y
6698,N,second,4,15,A,N
6699,Y,first,28,6,C,N
6700,N,third,44,99,F,N
6701,N,third,73,51,B,N
6702,N,second,59,55,A,N
6703,Y,first,11,9,F,Y
6704,Y,first,54,33,A,Y
6705,Y,first,58,56,B,Y
6706,Y,second,55,23,C,Y
6707,N,first,1,8,D,N
6708,N,third,56,68,A,Y
6709,N,second,77,83,F,Y
6710,Y,second,63,57,B,N
6711,Y,third,97,50,A,N
6712,Y,second,73,60,A,Y
6713,N,first,14,6,D,N
6714,N,third,84,94,C,Y
6715,Y,third,60,81,A,N
6716,Y,third,61,65,A,N
6717,Y,first,56,91,B,N
6718,N,third,8,10,D,N
6719,Y,first,51,46,A,Y
6720,N,first,18,7,D,N
6721,N,first,61,59,D,N
6722,Y,second,10,5,B,Y
6723,Y,third,1,16,B,N
6724,N,first,98,67,A,N
6725,Y,third,5,9,A,N
6726,Y,first,51,27,A,Y
6727,Y,third,9,9,A,N
6728,Y,first,10,2,F,Y
6729,N,third,67,42,B,N
6730,Y,third,41,43,D,Y
6731,Y,third,45,1,C,Y
6732,Y,third,4,13,B,N
6733,Y,second,61,36,A,N
6734,N,third,24,93,B,N
6735,Y,second,3,8,F,N
6736,Y,third,20,47,A,Y
6737,Y,second,92,10,A,Y
6738,Y,second,63,62,F,N
6739,Y,first,56,47,B,Y
6740,Y,third,88,71,A,N
6741,N,first,96,90,B,N
6742,Y,third,43,54,A,Y
6743,Y,second,98,54,A,N
6744,Y,second,10,3,F,N
6745,Y,second,9,12,A,N
6746,Y,first,43,55,D,Y
6747,Y,third,60,47,F,N
6748,Y,third,17,57,F,N
6749,Y,second,27,51,D,Y
6750,Y,first,12,56,F,Y
6751,N,third,89,41,C,Y
6752,N,second,6,1,A,N
6753,N,second,4,32,F,Y
6754,Y,first,37,47,B,Y
6755,N,third,12,10,F,Y
6756,N,second,7,4,B,N
6757,Y,third,77,61,F,N
6758,Y,third,77,49,F,N
6759,N,second,96,42,D,N
6760,N,second,86,79,C,N
6761,N,third,7,15,B,N
6762,Y,third,14,15,F,N
6763,N,third,6,5,A,N
6764,Y,first,2,88,A,N
6765,N,third,53,82,F,Y
6766,N,first,23,68,F,N
6767,Y,third,54,43,C,Y
6768,N,second,5,25,F,N
6769,N,first,91,76,C,N
6770,Y,third,12,64,B,N
6771,N,third,3,16,A,N
6772,N,first,18,6,F,N
6773,Y,first,51,86,A,N
6774,N,second,40,55,B,Y
6775,Y,second,24,43,D,Y
6776,Y,third,76,76,D,N
6777,Y,third,76,72,D,Y
6778,Y,second,12,26,F,N
6779,Y,first,11,6,D,Y
6780,N,second,9,9,F,N
6781,Y,third,95,61,D,N
6782,Y,third,20,10,D,Y
6783,Y,second,5,16,A,N
6784,N,third,90,60,A,N
6785,Y,third,12,31,C,Y
6786,Y,third,61,47,F,N
6787,Y,third,74,70,A,N
6788,Y,second,6,22,D,N
6789,Y,second,6,8,A,N
6790,Y,third,24,33,D,Y
6791,Y,third,76,65,C,N
6792,Y,third,82,68,B,N
6793,Y,second,38,41,C,Y
6794,N,third,32,85,B,Y
6795,Y,second,10,43,B,N
6796,Y,first,21,56,D,Y
6797,Y,first,22,18,B,Y
6798,N,third,76,45,B,N
6799,Y,third,49,74,A,N
6800,N,third,6,8,F,N
6801,Y,third,54,31,F,N
6802,N,first,17,17,D,N
6803,N,second,15,7,F,N
6804,Y,third,45,78,A,Y
6805,N,first,24,92,C,N
6806,Y,third,19,78,A,N
6807,Y,third,55,72,F,N
6808,Y,third,27,64,A,N
6809,Y,first,26,27,D,Y
6810,N,first,19,10,F,N
6811,N,second,1,25,D,N
6812,Y,third,77,73,C,N
6813,N,second,66,73,F,N
6814,N,first,39,43,A,N
6815,N,second,6,1,A,N
6816,N,first,2,8,D,N
6817,Y,first,59,42,C,Y
6818,N,third,65,90,A,N
6819,Y,first,73,65,F,N
6820,Y,second,57,41,D,Y
6821,Y,second,79,62,F,N
6822,Y,third,12,55,A,N
6823,N,first,62,61,A,Y
6824,Y,third,24,56,F,N
6825,Y,third,18,54,C,N
6826,Y,third,53,64,C,N
6827,Y,third,86,54,B,N
6828,Y,third,32,35,D,Y
6829,Y,third,97,8,D,Y
6830,Y,third,55,58,A,N
6831,Y,second,58,58,A,Y
6832,N,second,3,13,A,N
6833,N,second,5,13,F,N
6834,Y,first,18,44,A,Y
6835,N,third,1,5,B,N
6836,Y,third,13,20,F,Y
6837,Y,first,25,46,D,Y
6838,Y,second,97,92,A,N
6839,N,second,5,14,A,N
6840,N,second,46,63,C,Y
6841,Y,first,67,47,B,Y
6842,N,first,84,61,C,Y
6843,N,first,42,42,C,N
6844,N,first,11,21,D,N
6845,N,second,7,23,D,N
6846,Y,first,2,15,F,N
6847,Y,third,96,84,C,N
6848,Y,third,68,64,D,N
6849,N,first,91,72,A,Y
6850,Y,first,18,48,B,N
6851,N,first,11,1,D,N
6852,Y,third,45,72,A,N
6853,N,third,4,7,B,N
6854,Y,third,9,2,A,N
6855,N,second,15,8,D,N
6856,Y,first,13,6,F,Y
6857,Y,third,66,50,B,N
6858,Y,third,4,37,A,Y
6859,Y,second,92,64,B,N
6860,Y,first,19,55,D,Y
6861,Y,first,90,94,B,Y
6862,Y,third,6,8,F,N
6863,N,first,10,24,F,N
6864,N,second,68,82,A,Y
6865,N,second,41,60,C,N
6866,Y,second,88,41,D,Y
6867,Y,third,29,31,D,Y
6868,Y,first,16,11,F,Y
6869,Y,third,26,39,C,Y
6870,N,third,9,14,B,N
6871,N,third,7,14,A,N
6872,N,third,27,56,A,Y
6873,Y,first,70,98,C,Y
6874,N,first,1,33,B,N
6875,Y,first,63,62,D,Y
6876,N,second,8,5,B,N
6877,Y,second,25,52,B,Y
6878,Y,first,77,32,A,N
6879,Y,first,11,27,F,Y
6880,N,second,61,53,A,N
6881,Y,second,9,68,B,Y
6882,Y,second,25,49,B,Y
6883,Y,third,22,28,B,Y
6884,Y,first,5,8,B,Y
6885,Y,first,42,71,A,N
6886,N,second,74,45,C,N
6887,N,third,25,50,D,Y
6888,Y,second,41,37,F,N
6889,Y,first,16,14,F,N
6890,Y,second,12,13,F,Y
6891,N,second,4,13,A,N
6892,Y,third,3,13,F,N
6893,Y,first,29,67,F,N
6894,N,third,25,60,C,Y
6895,N,second,19,1,D,N
6896,N,second,17,27,F,N
6897,N,third,11,8,F,N
6898,Y,first,52,87,D,Y
6899,Y,third,37,97,A,N
6900,N,second,71,41,F,N
6901,N,first,24,58,D,N
6902,N,third,29,10,A,Y
6903,Y,second,71,44,A,N
6904,Y,first,95,68,A,Y
6905,Y,second,56,52,C,Y
6906,Y,second,87,69,A,N
6907,Y,first,19,5,F,Y
6908,N,third,90,82,A,N
6909,Y,second,19,50,A,N
6910,Y,first,30,38,F,Y
6911,Y,third,2,18,F,N
6912,N,first,6,5,F,N
6913,Y,first,70,33,A,N
6914,Y,second,72,47,F,Y
6915,N,third,97,37,C,N
6916,Y,first,10,5,D,Y
6917,Y,second,23,88,B,Y
6918,Y,first,58,41,B,Y
6919,Y,third,62,76,F,Y
6920,Y,third,13,32,D,Y
6921,Y,first,5,17,D,N
6922,N,first,73,58,A,N
6923,Y,first,24,70,A,N
6924,Y,first,78,69,B,N
6925,Y,first,22,4,B,Y
6926,Y,second,91,96,A,N
6927,N,first,58,66,D,Y
6928,Y,third,13,58,A,N
6929,Y,first,15,19,F,N
6930,Y,second,6,10,F,Y
6931,Y,first,19,75,B,Y
6932,Y,second,77,11,A,N
6933,N,third,9,14,B,N
6934,Y,first,29,40,D,Y
6935,Y,third,56,53,D,Y
6936,Y,second,15,4,F,Y
6937,N,first,42,73,C,N
6938,N,third,69,77,D,Y
6939,N,third,3,1,B,N
6940,N,third,24,33,F,Y
6941,N,third,4,4,B,N
6942,N,second,60,58,A,N
6943,N,second,69,67,A,N
6944,N,second,27,7,F,Y
6945,Y,third,25,19,C,Y
6946,N,second,36,83,F,N
6947,Y,second,57,32,D,Y
6948,Y,first,71,67,B,Y
6949,Y,second,86,83,C,N
6950,N,third,92,51,C,N
6951,Y,first,12,50,C,Y
6952,N,third,82,22,C,N
6953,Y,second,8,11,F,N
6954,N,third,5,10,A,N
6955,Y,second,60,94,A,N
6956,Y,second,84,89,B,N
6957,Y,second,68,79,A,N
6958,Y,second,88,37,F,N
6959,N,second,63,57,A,Y
6960,N,second,26,64,A,Y
6961,Y,third,56,53,A,N
6962,Y,second,75,62,A,N
6963,Y,third,42,69,A,N
6964,Y,first,60,76,D,N
6965,Y,first,79,12,F,Y
6966,Y,second,16,13,F,Y
6967,Y,third,50,79,A,N
6968,Y,third,52,20,C,Y
6969,Y,third,57,31,D,N
6970,Y,first,2,76,F,Y
6971,N,first,5,28,D,N
6972,Y,second,72,74,A,N
6973,Y,third,63,52,A,Y
6974,N,third,7,32,F,Y
6975,N,first,12,6,F,N
6976,Y,second,24,1,A,N
6977,N,third,7,14,B,N
6978,N,third,2,10,A,N
6979,N,first,1,11,F,N
6980,N,third,82,30,B,N
6981,N,second,11,10,F,N
6982,Y,first,16,13,B,Y
6983,N,first,1,14,D,N
6984,Y,first,13,77,A,Y
6985,Y,first,42,36,C,N
6986,N,first,82,69,C,N
6987,Y,first,66,81,F,Y
6988,N,first,10,19,D,N
6989,Y,third,68,67,C,N
6990,N,third,62,79,D,N
6991,N,second,84,86,D,N
6992,Y,third,59,71,A,N
6993,Y,first,77,91,A,Y
6994,Y,second,61,81,D,N
6995,N,first,10,27,D,N
6996,Y,third,99,31,A,N
6997,Y,first,28,65,A,N
6998,Y,third,9,12,B,N
6999,N,second,4,13,F,N
7000,N,third,1,37,F,Y
7001,Y,first,8,47,C,N
