,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,dropout,passed_checkpoint_1,passed_checkpoint_2,passed_checkpoint_3
4576,N,second,7,1,A,13.0,30.0,D,27.0,A,21.0,A,B,C,4,2,1,N,True,True,True
4577,Y,first,43,6,F,4.0,21.0,B,46.0,F,,,,,2,3,1,Y,True,True,False
4578,N,second,80,88,B,64.0,22.0,A,35.0,A,58.0,A,C,D,16,10,1,N,True,True,True
4579,Y,third,52,28,B,42.0,5.0,F,,,,,,,1,2,0,Y,True,False,False
4580,Y,second,67,92,D,88.0,27.0,F,27.0,A,42.0,C,F,B,12,2,3,N,True,True,True
4581,Y,third,51,58,B,98.0,58.0,B,47.0,F,71.0,A,A,D,11,7,3,N,True,True,True
4582,Y,third,73,85,C,58.0,38.0,A,7.0,D,10.0,C,F,C,9,0,2,Y,True,True,True
4583,Y,second,63,51,F,76.0,77.0,A,32.0,A,96.0,A,D,B,17,8,1,N,True,True,True
4584,N,first,1,17,D,58.0,47.0,F,48.0,B,45.0,A,C,B,13,19,8,N,True,True,True
4585,N,first,98,87,A,45.0,20.0,D,,,,,,,7,3,0,Y,True,False,False
4586,Y,third,2,13,B,9.0,53.0,B,41.0,A,25.0,A,A,B,4,1,1,N,True,True,True
4587,N,second,54,21,C,89.0,51.0,B,35.0,C,82.0,F,B,B,4,2,1,N,True,True,True
4588,N,second,82,84,F,64.0,86.0,A,75.0,F,71.0,A,F,C,8,7,4,N,True,True,True
4589,Y,third,42,68,D,72.0,23.0,A,62.0,D,86.0,F,B,C,11,15,1,N,True,True,True
4590,Y,third,2,14,A,12.0,49.0,B,27.0,D,22.0,A,B,A,4,1,2,N,True,True,True
4591,N,first,68,47,B,99.0,70.0,F,58.0,B,60.0,D,D,C,10,3,1,N,True,True,True
4592,Y,first,11,16,F,,,,,,,,,,3,1,0,Y,False,False,False
4593,N,first,15,1,D,25.0,42.0,F,54.0,C,96.0,A,B,B,26,7,6,N,True,True,True
4594,Y,third,4,63,A,57.0,54.0,A,64.0,F,14.0,A,C,B,8,1,6,N,True,True,True
4595,N,third,1,20,F,,,,,,,,,,1,1,1,Y,False,False,False
4596,Y,third,81,16,D,6.0,69.0,B,79.0,D,,,,,10,2,1,Y,True,True,False
4597,Y,third,24,67,B,77.0,43.0,C,49.0,C,60.0,C,F,A,8,5,4,N,True,True,True
4598,Y,third,16,28,C,,,,,,,,,,4,0,0,Y,False,False,False
4599,Y,second,25,43,D,,,,,,,,,,0,1,0,Y,False,False,False
4600,Y,first,14,19,F,23.0,44.0,C,59.0,C,30.0,D,B,D,27,6,4,N,True,True,True
4601,N,second,7,12,F,7.0,8.0,D,33.0,A,27.0,F,B,D,3,3,2,N,True,True,True
4602,N,third,2,11,A,7.0,31.0,F,44.0,B,22.0,A,A,B,3,2,2,N,True,True,True
4603,Y,third,25,2,F,,,,,,,,,,4,1,0,Y,False,False,False
4604,Y,third,28,40,C,18.0,78.0,D,48.0,A,19.0,F,F,F,9,5,1,Y,True,True,True
4605,Y,second,4,5,A,5.0,29.0,F,38.0,A,28.0,B,C,A,0,3,2,N,True,True,True
4606,Y,third,18,78,C,58.0,25.0,B,70.0,A,63.0,C,F,B,5,7,5,N,True,True,True
4607,Y,first,16,20,D,,,,,,,,,,2,1,0,Y,False,False,False
4608,Y,third,24,72,F,69.0,55.0,A,52.0,F,68.0,C,C,D,16,9,3,N,True,True,True
4609,N,second,7,16,B,10.0,45.0,A,33.0,B,25.0,A,C,C,2,3,2,N,True,True,True
4610,Y,first,17,77,A,78.0,73.0,A,77.0,F,82.0,D,A,B,5,8,2,N,True,True,True
4611,Y,third,4,15,A,8.0,47.0,F,30.0,B,29.0,C,D,B,0,3,1,N,True,True,True
4612,Y,first,59,52,A,17.0,55.0,B,13.0,F,,,,,6,1,1,Y,True,True,False
4613,Y,third,6,12,F,12.0,54.0,C,31.0,D,21.0,C,B,B,4,1,1,N,True,True,True
4614,Y,second,75,19,A,45.0,78.0,F,11.0,D,11.0,D,F,C,10,2,3,Y,True,True,True
4615,N,third,69,51,A,26.0,39.0,D,1.0,D,85.0,C,F,A,13,10,7,N,True,True,True
4616,Y,second,14,25,D,26.0,39.0,F,47.0,A,72.0,F,D,A,24,17,5,N,True,True,True
4617,N,third,8,16,A,3.0,33.0,B,30.0,B,25.0,B,C,A,0,3,1,N,True,True,True
4618,N,first,5,3,D,34.0,44.0,C,75.0,C,57.0,C,B,C,19,15,6,N,True,True,True
4619,Y,second,98,30,F,83.0,64.0,A,0.0,B,62.0,C,D,D,15,5,4,N,True,True,True
4620,N,third,4,14,B,12.0,55.0,A,34.0,A,20.0,A,D,C,0,1,1,N,True,True,True
4621,N,second,35,55,C,81.0,5.0,D,,,,,,,4,4,0,Y,True,False,False
4622,Y,second,10,5,F,36.0,33.0,D,73.0,C,50.0,A,C,C,26,8,5,N,True,True,True
4623,N,second,4,13,B,11.0,29.0,C,32.0,D,23.0,D,D,A,2,1,1,N,True,True,True
4624,Y,third,61,37,B,65.0,65.0,F,85.0,F,,,,,4,2,0,Y,True,True,False
4625,N,third,60,53,B,82.0,48.0,D,12.0,A,82.0,A,D,C,3,6,1,N,True,True,True
4626,N,third,74,51,A,45.0,53.0,A,,,,,,,5,3,0,Y,True,False,False
4627,N,second,29,44,A,77.0,39.0,C,69.0,C,4.0,F,C,D,15,8,3,N,True,True,True
4628,Y,third,66,59,A,61.0,70.0,A,64.0,F,62.0,A,F,F,12,11,1,N,True,True,True
4629,N,third,6,8,A,4.0,38.0,C,35.0,B,25.0,D,D,B,2,2,1,N,True,True,True
4630,Y,first,13,8,F,,,,,,,,,,2,1,0,Y,False,False,False
4631,Y,first,65,49,D,69.0,53.0,A,71.0,D,37.0,A,A,D,15,18,7,N,True,True,True
4632,Y,first,16,2,F,,,,,,,,,,0,1,1,Y,False,False,False
4633,Y,second,16,11,D,24.0,53.0,F,52.0,F,20.0,A,B,C,16,12,5,N,True,True,True
4634,Y,first,70,42,A,60.0,61.0,B,84.0,D,37.0,C,F,C,3,3,4,N,True,True,True
4635,N,second,46,58,C,50.0,8.0,F,,,,,,,6,0,2,Y,True,False,False
4636,N,first,13,26,D,50.0,39.0,B,80.0,C,73.0,D,F,C,6,15,6,N,True,True,True
4637,Y,third,45,78,C,70.0,31.0,C,66.0,D,65.0,C,A,B,17,6,5,N,True,True,True
4638,N,third,14,16,F,,,,,,,,,,2,0,0,Y,False,False,False
4639,Y,third,76,88,B,54.0,20.0,D,84.0,C,76.0,F,C,C,2,5,2,N,True,True,True
4640,Y,third,32,79,F,82.0,79.0,A,96.0,D,57.0,A,F,A,14,7,4,N,True,True,True
4641,N,first,4,11,D,46.0,53.0,C,53.0,A,31.0,C,B,D,11,13,8,N,True,True,True
4642,Y,third,89,55,F,66.0,69.0,F,21.0,B,69.0,A,A,A,18,10,2,N,True,True,True
4643,N,second,3,11,D,56.0,31.0,D,53.0,B,26.0,C,B,D,3,10,7,N,True,True,True
4644,Y,first,31,52,D,48.0,10.0,C,,,,,,,0,0,1,Y,True,False,False
4645,Y,first,25,52,D,13.0,13.0,F,,,,,,,4,1,1,Y,True,False,False
4646,N,second,78,68,D,23.0,33.0,C,60.0,C,19.0,D,D,B,18,6,6,N,True,True,True
4647,N,first,18,22,D,23.0,44.0,D,87.0,F,94.0,A,A,C,21,17,5,N,True,True,True
4648,N,third,29,79,F,51.0,50.0,A,33.0,A,89.0,F,A,F,16,18,9,N,True,True,True
4649,Y,second,1,20,D,12.0,78.0,F,27.0,A,79.0,B,B,D,8,8,6,N,True,True,True
4650,Y,first,6,19,F,,,,,,,,,,0,0,1,Y,False,False,False
4651,Y,second,14,25,C,48.0,13.0,D,35.0,D,1.0,D,C,F,2,16,8,N,True,True,True
4652,N,third,18,14,D,40.0,30.0,C,89.0,C,32.0,A,D,D,5,17,7,N,True,True,True
4653,Y,third,39,76,F,76.0,23.0,A,5.0,F,83.0,D,F,A,12,5,3,N,True,True,True
4654,N,first,88,73,F,90.0,17.0,A,47.0,F,96.0,A,F,D,16,10,4,N,True,True,True
4655,Y,first,15,1,F,75.0,86.0,C,79.0,F,42.0,A,B,F,14,17,2,N,True,True,True
4656,N,first,3,9,D,55.0,47.0,D,81.0,C,44.0,B,D,C,25,5,6,N,True,True,True
4657,N,third,23,35,C,63.0,64.0,F,24.0,F,23.0,A,A,B,10,1,2,N,True,True,True
4658,N,second,29,18,F,,,,,,,,,,0,2,1,Y,False,False,False
4659,Y,second,2,84,A,91.0,6.0,C,56.0,D,11.0,A,C,F,9,4,1,Y,True,True,True
4660,Y,third,29,40,C,31.0,3.0,F,,,,,,,1,1,1,Y,True,False,False
4661,Y,first,29,7,F,,,,,,,,,,1,1,0,Y,False,False,False
4662,Y,first,17,9,F,,,,,,,,,,1,2,1,Y,False,False,False
4663,N,third,78,89,C,42.0,19.0,A,76.0,B,81.0,A,F,B,7,10,1,N,True,True,True
4664,Y,third,7,13,F,,,,,,,,,,1,1,1,Y,False,False,False
4665,Y,third,66,79,A,62.0,53.0,A,20.0,A,93.0,F,A,B,9,3,4,N,True,True,True
4666,N,third,2,10,D,34.0,53.0,C,78.0,C,43.0,A,C,B,7,12,4,N,True,True,True
4667,Y,first,2,18,F,54.0,49.0,D,83.0,C,57.0,A,F,C,25,18,8,N,True,True,True
4668,Y,second,12,53,D,49.0,37.0,A,65.0,D,,,,,6,3,1,Y,True,True,False
4669,Y,second,51,58,A,58.0,68.0,C,51.0,C,71.0,F,C,B,13,9,5,N,True,True,True
4670,Y,second,49,26,F,22.0,42.0,B,20.0,D,,,,,6,4,0,Y,True,True,False
4671,Y,second,68,45,C,58.0,32.0,A,1.0,D,57.0,C,D,B,3,9,3,N,True,True,True
4672,N,third,6,3,B,13.0,25.0,B,41.0,B,22.0,A,C,C,1,2,1,N,True,True,True
4673,Y,third,32,58,D,69.0,28.0,B,52.0,B,72.0,B,F,F,12,8,3,N,True,True,True
4674,Y,second,46,96,C,61.0,13.0,A,49.0,A,33.0,D,C,A,14,5,4,N,True,True,True
4675,Y,second,36,63,A,72.0,41.0,D,14.0,D,,,,,2,2,0,Y,True,True,False
4676,N,second,22,63,F,30.0,82.0,C,21.0,A,9.0,D,D,C,3,23,1,N,True,True,True
4677,Y,third,9,11,A,4.0,15.0,B,32.0,B,26.0,C,F,C,2,2,2,N,True,True,True
4678,Y,first,54,57,C,49.0,17.0,D,,,,,,,1,1,1,Y,True,False,False
4679,N,third,11,35,C,32.0,14.0,A,10.0,B,10.0,F,D,C,13,11,3,N,True,True,True
4680,Y,first,45,0,B,0.0,74.0,A,55.0,C,19.0,D,C,B,7,3,2,Y,True,True,True
4681,Y,third,52,11,B,81.0,38.0,A,64.0,B,31.0,C,F,B,11,4,4,N,True,True,True
4682,Y,third,39,52,F,62.0,45.0,F,39.0,B,79.0,F,F,A,17,6,3,N,True,True,True
4683,Y,second,64,42,F,84.0,6.0,A,36.0,D,,,,,5,0,0,Y,True,True,False
4684,N,third,8,23,F,,,,,,,,,,0,0,0,Y,False,False,False
4685,Y,third,46,57,A,78.0,53.0,A,20.0,F,72.0,A,B,B,6,5,4,N,True,True,True
4686,Y,first,46,43,D,30.0,56.0,D,,,,,,,1,0,0,Y,True,False,False
4687,Y,second,39,35,D,27.0,12.0,F,,,,,,,2,1,0,Y,True,False,False
4688,Y,second,58,30,C,27.0,14.0,F,,,,,,,1,1,1,Y,True,False,False
4689,Y,third,7,7,A,2.0,25.0,D,46.0,A,24.0,A,C,D,2,1,1,N,True,True,True
4690,Y,second,19,96,D,46.0,52.0,B,71.0,A,37.0,D,C,B,3,7,8,N,True,True,True
4691,N,second,13,7,F,62.0,36.0,F,60.0,B,84.0,D,F,A,4,19,8,N,True,True,True
4692,Y,third,35,22,A,58.0,24.0,D,16.0,B,14.0,D,F,F,11,0,0,Y,True,True,True
4693,N,second,70,35,A,78.0,64.0,A,51.0,A,49.0,A,F,B,17,10,4,N,True,True,True
4694,Y,third,34,61,B,36.0,9.0,C,21.0,D,20.0,B,F,B,7,5,1,Y,True,True,True
4695,Y,third,72,62,B,91.0,58.0,C,90.0,D,72.0,C,C,A,14,5,5,N,True,True,True
4696,Y,third,13,52,F,91.0,23.0,F,64.0,F,97.0,B,F,D,9,8,2,N,True,True,True
4697,N,third,3,3,A,1.0,11.0,B,46.0,B,29.0,B,F,A,3,3,2,N,True,True,True
4698,Y,third,25,27,F,,,,,,,,,,2,0,1,Y,False,False,False
4699,N,third,3,10,A,7.0,27.0,A,31.0,A,21.0,A,F,D,0,1,2,N,True,True,True
4700,N,first,67,69,F,60.0,9.0,A,96.0,D,26.0,A,A,B,19,17,8,N,True,True,True
4701,Y,first,1,69,A,9.0,86.0,A,91.0,F,86.0,B,D,F,3,8,5,N,True,True,True
4702,Y,third,46,50,B,52.0,78.0,C,60.0,A,82.0,B,F,D,8,9,3,N,True,True,True
4703,N,first,91,45,A,76.0,45.0,C,41.0,A,30.0,A,B,A,13,8,1,N,True,True,True
4704,Y,first,12,22,D,48.0,43.0,D,90.0,F,79.0,B,B,B,12,16,4,N,True,True,True
4705,Y,first,24,40,B,,,,,,,,,,4,2,0,Y,False,False,False
4706,Y,first,17,5,F,,,,,,,,,,4,0,0,Y,False,False,False
4707,Y,third,71,70,F,52.0,71.0,B,68.0,B,62.0,D,F,B,11,5,2,N,True,True,True
4708,Y,third,0,4,F,,,,,,,,,,2,0,1,Y,False,False,False
4709,N,third,56,98,F,39.0,87.0,A,,,,,,,6,4,1,Y,True,False,False
4710,Y,second,5,12,A,5.0,56.0,C,27.0,A,25.0,A,B,A,2,1,1,N,True,True,True
4711,N,third,80,67,A,54.0,49.0,C,78.0,B,87.0,C,F,D,13,6,5,N,True,True,True
4712,N,third,69,60,A,84.0,97.0,A,42.0,C,36.0,F,A,F,17,11,2,N,True,True,True
4713,N,first,15,8,D,25.0,49.0,C,54.0,C,29.0,D,B,D,11,4,6,N,True,True,True
4714,Y,third,13,54,A,60.0,68.0,D,95.0,F,98.0,A,F,D,6,6,4,N,True,True,True
4715,Y,second,75,96,F,47.0,50.0,B,71.0,A,70.0,A,F,F,8,9,5,N,True,True,True
4716,N,third,1,33,F,,,,,,,,,,1,0,0,Y,False,False,False
4717,Y,third,72,63,F,78.0,46.0,B,13.0,F,63.0,B,A,A,6,6,5,N,True,True,True
4718,Y,first,11,11,B,,,,,,,,,,2,2,0,Y,False,False,False
4719,N,first,6,5,F,37.0,30.0,D,88.0,C,46.0,F,B,A,7,16,8,N,True,True,True
4720,N,third,3,12,A,4.0,28.0,C,31.0,A,22.0,B,A,B,0,3,2,N,True,True,True
4721,Y,third,6,76,D,52.0,48.0,D,33.0,A,98.0,B,C,A,5,14,6,N,True,True,True
4722,Y,second,73,14,D,98.0,38.0,D,21.0,F,78.0,B,F,C,9,6,2,N,True,True,True
4723,N,third,29,59,D,55.0,42.0,F,,,,,,,2,1,0,Y,True,False,False
4724,Y,first,18,44,A,87.0,2.0,A,61.0,A,79.0,C,B,C,11,24,3,N,True,True,True
4725,N,third,2,12,A,5.0,34.0,A,29.0,D,28.0,A,B,B,4,3,1,N,True,True,True
4726,Y,first,63,48,D,89.0,44.0,D,63.0,D,28.0,D,A,C,5,8,2,N,True,True,True
4727,Y,third,4,14,F,10.0,17.0,C,33.0,B,29.0,A,B,B,1,3,1,N,True,True,True
4728,N,second,2,14,F,12.0,54.0,C,31.0,A,21.0,A,F,D,2,3,2,N,True,True,True
4729,N,second,89,88,A,44.0,70.0,A,8.0,F,37.0,A,B,D,13,7,1,N,True,True,True
4730,Y,first,12,1,F,,,,,,,,,,3,0,1,Y,False,False,False
4731,Y,third,12,55,F,,,,,,,,,,4,2,1,Y,False,False,False
4732,N,second,3,39,F,68.0,92.0,A,14.0,C,17.0,D,A,B,15,21,1,N,True,True,True
4733,N,second,69,99,B,41.0,62.0,B,46.0,A,47.0,F,A,D,4,5,4,N,True,True,True
4734,Y,second,43,25,A,29.0,65.0,D,84.0,C,21.0,D,B,F,8,4,0,Y,True,True,True
4735,Y,third,30,28,D,61.0,25.0,B,84.0,F,24.0,A,A,A,10,6,4,N,True,True,True
4736,Y,first,89,34,A,54.0,85.0,A,64.0,D,,,,,0,3,1,Y,True,True,False
4737,N,second,3,4,A,6.0,12.0,A,45.0,B,23.0,A,D,A,4,1,2,N,True,True,True
4738,N,third,2,5,F,2.0,50.0,B,25.0,A,24.0,C,A,B,2,3,2,N,True,True,True
4739,Y,first,1,3,D,,,,,,,,,,1,0,0,Y,False,False,False
4740,Y,second,65,78,A,70.0,42.0,A,79.0,F,72.0,A,F,B,16,8,5,N,True,True,True
4741,N,third,24,19,B,,,,,,,,,,3,0,1,Y,False,False,False
4742,Y,third,92,47,D,67.0,11.0,F,2.0,D,1.0,A,F,F,10,5,3,Y,True,True,True
4743,Y,third,92,81,B,42.0,81.0,F,5.0,F,23.0,C,C,D,18,10,5,N,True,True,True
4744,Y,third,75,23,D,17.0,50.0,F,76.0,D,22.0,C,A,A,3,15,9,N,True,True,True
4745,N,third,4,4,B,12.0,29.0,A,24.0,D,20.0,D,A,D,2,2,2,N,True,True,True
4746,Y,first,61,63,A,85.0,15.0,A,46.0,A,37.0,A,B,A,6,4,1,N,True,True,True
4747,Y,first,94,58,F,0.0,73.0,F,71.0,D,,,,,5,2,1,Y,True,True,False
4748,Y,third,99,39,B,86.0,32.0,B,54.0,B,63.0,C,A,F,14,4,1,N,True,True,True
4749,N,first,86,1,B,82.0,18.0,C,13.0,A,6.0,F,C,A,10,14,5,N,True,True,True
4750,N,third,73,87,A,83.0,22.0,A,18.0,B,90.0,C,C,B,12,6,4,N,True,True,True
4751,N,first,6,81,A,32.0,36.0,B,37.0,B,97.0,A,C,C,10,11,3,N,True,True,True
4752,N,third,7,10,A,12.0,19.0,A,29.0,D,24.0,D,D,A,1,3,2,N,True,True,True
4753,N,first,76,55,F,34.0,84.0,D,92.0,B,10.0,B,A,F,9,18,1,N,True,True,True
4754,N,second,55,83,B,54.0,54.0,D,28.0,B,7.0,C,F,F,12,14,9,N,True,True,True
4755,Y,third,10,27,F,24.0,44.0,D,69.0,C,27.0,F,B,A,28,12,6,N,True,True,True
4756,Y,third,22,57,D,70.0,54.0,A,36.0,F,97.0,C,A,B,13,6,5,N,True,True,True
4757,Y,third,73,90,A,69.0,59.0,A,20.0,F,13.0,F,D,F,10,7,2,Y,True,True,True
4758,N,second,2,15,F,7.0,18.0,C,36.0,A,22.0,B,A,B,3,3,2,N,True,True,True
4759,Y,first,10,77,F,86.0,47.0,B,87.0,B,64.0,B,A,A,9,8,4,N,True,True,True
4760,N,first,9,57,F,57.0,99.0,A,26.0,B,51.0,B,A,B,1,20,7,N,True,True,True
4761,Y,third,54,26,C,67.0,24.0,F,,,,,,,0,2,1,Y,True,False,False
4762,N,first,73,95,A,76.0,50.0,A,41.0,F,24.0,D,C,F,13,10,3,N,True,True,True
4763,Y,second,90,59,B,48.0,42.0,A,51.0,A,99.0,F,A,D,14,3,1,N,True,True,True
4764,N,third,89,48,B,73.0,58.0,A,88.0,A,70.0,D,C,D,5,13,3,N,True,True,True
4765,N,third,63,50,C,42.0,62.0,F,85.0,F,,,,,5,1,3,Y,True,True,False
4766,Y,third,5,13,A,5.0,46.0,C,44.0,A,26.0,D,A,A,2,1,2,N,True,True,True
4767,Y,third,97,40,A,89.0,68.0,C,31.0,A,42.0,D,D,D,14,3,2,N,True,True,True
4768,Y,second,16,50,A,60.0,26.0,C,91.0,F,88.0,A,F,B,11,6,5,N,True,True,True
4769,Y,first,38,27,B,68.0,24.0,D,17.0,C,,,,,2,3,0,Y,True,True,False
4770,Y,first,1,11,F,,,,,,,,,,1,1,1,Y,False,False,False
4771,N,second,5,6,F,,,,,,,,,,1,2,0,Y,False,False,False
4772,Y,third,92,91,D,51.0,29.0,A,74.0,D,60.0,B,C,D,9,4,2,Y,True,True,True
4773,Y,third,40,95,B,42.0,4.0,B,35.0,C,,,,,2,0,1,Y,True,True,False
4774,Y,first,59,74,D,2.0,6.0,F,19.0,F,,,,,2,2,0,Y,True,True,False
4775,Y,second,69,52,A,99.0,47.0,A,56.0,F,68.0,D,C,F,13,7,3,N,True,True,True
4776,Y,third,53,24,C,45.0,2.0,F,,,,,,,1,0,1,Y,True,False,False
4777,N,second,38,94,A,12.0,35.0,A,89.0,F,,,,,10,2,2,Y,True,True,False
4778,Y,first,99,58,D,87.0,65.0,B,52.0,D,,,,,1,2,1,Y,True,True,False
4779,N,third,18,26,F,,,,,,,,,,5,2,1,Y,False,False,False
4780,Y,third,89,18,A,41.0,42.0,B,31.0,D,,,,,4,0,0,Y,True,True,False
4781,N,third,8,4,A,13.0,38.0,D,47.0,A,23.0,B,D,A,0,2,2,N,True,True,True
4782,Y,first,12,42,D,,,,,,,,,,4,1,0,Y,False,False,False
4783,Y,third,69,49,A,70.0,44.0,B,31.0,B,17.0,A,D,B,5,7,2,N,True,True,True
4784,Y,first,56,93,D,58.0,39.0,F,,,,,,,1,2,1,Y,True,False,False
4785,Y,second,97,72,A,58.0,85.0,B,78.0,C,60.0,A,A,D,19,8,3,N,True,True,True
4786,Y,first,48,20,F,74.0,33.0,B,26.0,D,9.0,F,F,D,0,8,0,Y,True,True,True
4787,N,third,77,80,D,55.0,94.0,D,,,,,,,4,3,2,Y,True,False,False
4788,Y,third,7,37,B,86.0,46.0,B,24.0,C,61.0,D,C,A,15,6,8,N,True,True,True
4789,Y,second,94,59,C,61.0,35.0,A,15.0,D,22.0,C,B,F,13,2,2,Y,True,True,True
4790,Y,second,48,69,F,82.0,24.0,F,52.0,F,73.0,C,D,F,12,7,3,N,True,True,True
4791,Y,second,74,54,B,41.0,37.0,B,83.0,D,,,,,2,0,1,Y,True,True,False
4792,Y,third,66,70,D,62.0,32.0,F,57.0,B,81.0,B,F,A,12,6,5,N,True,True,True
4793,Y,first,51,57,C,61.0,6.0,D,,,,,,,0,2,0,Y,True,False,False
4794,Y,first,68,70,D,67.0,34.0,A,64.0,F,71.0,A,F,A,7,6,4,N,True,True,True
4795,Y,third,46,78,D,97.0,22.0,C,17.0,F,68.0,D,F,A,17,8,5,N,True,True,True
4796,N,second,5,5,A,3.0,53.0,B,39.0,B,24.0,A,C,C,4,3,2,N,True,True,True
4797,Y,third,64,62,D,88.0,30.0,C,33.0,A,78.0,A,F,A,6,6,4,N,True,True,True
4798,Y,first,68,51,C,10.0,59.0,B,11.0,D,,,,,2,2,1,Y,True,True,False
4799,Y,third,6,25,D,24.0,39.0,D,82.0,B,21.0,B,A,B,15,15,7,N,True,True,True
4800,Y,second,31,57,F,63.0,71.0,C,60.0,D,92.0,C,F,A,9,7,3,N,True,True,True
4801,N,third,5,7,F,45.0,51.0,F,67.0,C,93.0,C,F,C,27,3,4,N,True,True,True
4802,N,third,5,11,B,4.0,52.0,C,30.0,A,20.0,A,A,C,2,2,2,N,True,True,True
4803,Y,second,66,65,B,60.0,72.0,C,44.0,C,21.0,C,F,F,1,1,1,Y,True,True,True
4804,Y,second,60,4,A,51.0,61.0,A,53.0,C,65.0,D,F,D,5,3,3,Y,True,True,True
4805,Y,third,67,53,D,96.0,77.0,B,34.0,A,25.0,B,B,C,11,6,1,N,True,True,True
4806,Y,second,78,91,A,50.0,29.0,A,69.0,F,81.0,A,A,C,9,7,5,N,True,True,True
4807,Y,third,34,77,A,62.0,43.0,D,55.0,B,60.0,D,D,B,15,7,3,N,True,True,True
4808,Y,third,21,45,F,,,,,,,,,,2,1,0,Y,False,False,False
4809,Y,third,98,67,B,71.0,42.0,C,56.0,C,83.0,A,F,F,5,4,3,N,True,True,True
4810,N,second,91,6,F,27.0,85.0,C,27.0,C,73.0,B,F,C,9,22,3,N,True,True,True
4811,Y,third,47,27,A,65.0,70.0,F,61.0,A,82.0,C,D,A,4,2,2,N,True,True,True
4812,N,third,2,17,D,30.0,47.0,C,83.0,B,36.0,C,A,C,24,14,8,N,True,True,True
4813,Y,second,1,24,B,24.0,21.0,C,10.0,C,45.0,D,D,D,11,2,0,Y,True,True,True
4814,N,third,28,96,C,82.0,5.0,B,36.0,B,88.0,A,B,A,3,17,7,N,True,True,True
4815,N,third,78,63,A,58.0,14.0,A,44.0,A,41.0,D,D,B,3,9,5,N,True,True,True
4816,N,second,3,11,A,13.0,33.0,B,30.0,B,25.0,A,A,B,4,1,1,N,True,True,True
4817,N,second,92,84,F,62.0,15.0,A,16.0,A,43.0,F,F,C,8,6,2,N,True,True,True
4818,N,third,65,26,B,75.0,22.0,A,73.0,F,,,,,9,0,0,Y,True,True,False
4819,Y,first,5,6,F,44.0,49.0,D,95.0,B,93.0,C,B,D,14,16,5,N,True,True,True
4820,N,third,3,6,A,8.0,32.0,F,34.0,F,27.0,B,A,B,1,1,1,N,True,True,True
4821,N,second,75,74,D,80.0,38.0,C,72.0,A,32.0,C,F,B,18,6,2,N,True,True,True
4822,N,second,3,5,A,11.0,46.0,C,46.0,D,22.0,D,B,C,4,1,2,N,True,True,True
4823,Y,second,16,7,F,27.0,43.0,D,58.0,B,44.0,B,C,C,3,9,4,N,True,True,True
4824,Y,second,94,13,F,92.0,70.0,D,99.0,F,48.0,B,B,F,12,7,1,N,True,True,True
4825,Y,third,57,16,B,94.0,74.0,C,48.0,B,88.0,C,F,D,7,3,4,N,True,True,True
4826,N,third,6,10,B,4.0,34.0,B,43.0,F,29.0,F,A,C,2,2,1,N,True,True,True
4827,N,second,2,11,D,38.0,45.0,D,71.0,D,77.0,A,D,C,6,16,8,N,True,True,True
4828,Y,first,23,43,D,,,,,,,,,,4,2,1,Y,False,False,False
4829,N,third,19,3,F,21.0,52.0,C,45.0,A,71.0,F,C,B,3,5,5,N,True,True,True
4830,Y,third,78,61,F,51.0,26.0,F,36.0,F,69.0,A,D,B,5,5,3,N,True,True,True
4831,Y,third,53,99,C,69.0,9.0,A,44.0,D,40.0,F,A,A,7,17,4,N,True,True,True
4832,N,third,5,15,A,7.0,12.0,D,37.0,A,23.0,B,B,C,0,3,1,N,True,True,True
4833,Y,first,55,54,C,51.0,15.0,F,,,,,,,1,0,0,Y,True,False,False
4834,N,third,12,34,F,,,,,,,,,,7,1,1,Y,False,False,False
4835,N,first,16,26,F,44.0,34.0,D,63.0,B,30.0,C,C,B,5,14,4,N,True,True,True
4836,Y,first,27,68,F,12.0,49.0,D,48.0,F,,,,,5,3,0,Y,True,True,False
4837,N,second,86,92,D,65.0,70.0,D,,,,,,,3,1,1,Y,True,False,False
4838,Y,third,40,37,A,70.0,24.0,B,83.0,D,,,,,2,2,0,Y,True,True,False
4839,N,third,7,13,A,3.0,55.0,D,44.0,B,20.0,C,D,D,0,1,1,N,True,True,True
4840,Y,third,10,40,D,,,,,,,,,,4,0,1,Y,False,False,False
4841,Y,second,3,59,A,84.0,80.0,C,82.0,F,,,,,10,4,0,Y,True,True,False
4842,Y,first,3,0,F,,,,,,,,,,2,1,1,Y,False,False,False
4843,N,second,1,34,F,20.0,48.0,D,83.0,D,70.0,A,B,A,5,24,9,N,True,True,True
4844,N,second,12,1,D,40.0,38.0,D,82.0,C,42.0,F,B,C,27,9,6,N,True,True,True
4845,Y,third,71,31,A,78.0,74.0,C,73.0,B,32.0,D,F,B,5,6,2,N,True,True,True
4846,Y,second,52,24,C,61.0,17.0,F,,,,,,,0,0,1,Y,True,False,False
4847,Y,second,98,94,A,90.0,86.0,A,51.0,F,72.0,F,A,A,3,9,1,N,True,True,True
4848,Y,third,15,74,B,75.0,53.0,A,31.0,B,90.0,C,D,A,7,9,4,N,True,True,True
4849,N,third,13,13,A,92.0,73.0,D,71.0,D,20.0,B,A,C,6,24,9,N,True,True,True
